,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
0,2022-11-12,4-3-3,2,2.01,12,4,33.33,583,528,90.57,62.39,95,11,29,55,77,29,34,14,179,79,44.13,3,0,0.0,31,9,29.03,4,1,25.0,18,2,11.11,4,2,50.0,1,0,0.0,0,0,0,19,6,31.58,6,5,33,6,13,22,63,27,42.86,1,0,11,2,18.18,56,29,51.79,35,12,34.29,2,0,0.0,35,9,6,2,0,156,137,87.82,82,80,97.56,263,238,90.49,29,20,68.97,69,57,82.61,57,51,89.47,7,3,42.86,13,11,84.62,6,17.09,7.11,4.97,14.12,18.27,8.89,0,-1
1,2022-11-06,4-3-3,1,1.49,12,2,16.67,441,369,83.67,59.18,114,25,34,55,102,42,41,19,207,96,46.38,4,0,0.0,38,8,21.05,0,0,0.0,32,4,12.5,5,1,20.0,5,1,20.0,0,0,0,19,6,31.58,5,7,34,7,12,21,100,43,43.0,0,0,5,1,20.0,45,26,57.78,39,15,38.46,0,0,0.0,43,15,13,2,0,147,114,77.55,59,54,91.53,187,165,88.24,33,19,57.58,55,48,87.27,85,64,75.29,1,0,0.0,16,11,68.75,5,16.35,3.9,7.48,16.78,20.72,8.03,0,-1
2,2022-10-30,4-3-3,5,2.65,19,10,52.63,615,553,89.92,69.66,88,9,18,61,79,31,26,22,197,95,48.22,7,1,14.29,42,12,28.57,4,2,50.0,22,4,18.18,9,1,11.11,2,0,0.0,0,0,0,18,8,44.44,6,24,48,12,12,46,75,30,40.0,1,0,5,2,40.0,63,43,68.25,32,14,43.75,2,2,100.0,23,7,9,0,0,179,149,83.24,106,99,93.4,270,253,93.7,29,17,58.62,76,63,82.89,102,90,88.24,7,2,28.57,18,16,88.89,4,17.76,5.91,4.72,18.09,19.29,6.59,1,1
3,2022-10-23,4-3-3,1,1.31,11,3,27.27,531,476,89.64,56.39,98,20,32,46,81,31,37,13,214,98,45.79,5,0,0.0,28,7,25.0,2,2,100.0,21,2,9.52,4,1,25.0,1,0,0.0,0,0,0,11,5,45.45,4,9,24,6,6,18,73,24,32.88,3,1,8,3,37.5,67,39,58.21,41,23,56.1,0,0,0.0,44,22,7,1,0,162,135,83.33,79,73,92.41,210,200,95.24,31,21,67.74,65,50,76.92,59,48,81.36,5,0,0.0,21,21,100.0,2,17.95,5.36,5.84,16.92,17.77,8.09,0,0
4,2022-10-16,4-1-4-1,1,1.04,9,4,44.44,470,410,87.23,53.39,101,29,37,35,83,48,29,6,223,98,43.95,3,2,66.67,25,4,16.0,4,1,25.0,23,3,13.04,3,2,66.67,1,0,0.0,0,0,0,5,1,20.0,1,7,17,3,3,16,86,25,29.07,0,0,13,5,38.46,56,41,73.21,25,12,48.0,1,0,0.0,54,18,11,2,0,153,115,75.16,70,67,95.71,185,175,94.59,34,19,55.88,38,26,68.42,73,51,69.86,8,3,37.5,20,19,95.0,8,17.47,4.56,7.23,17.02,19.85,10.65,0,-1
5,2022-10-09,4-2-3-1,3,2.92,11,7,63.64,370,305,82.43,42.57,91,13,30,48,81,34,32,15,203,84,41.38,1,0,0.0,31,8,25.81,1,1,100.0,23,1,4.35,4,0,0.0,1,0,0.0,1,1,100,14,5,35.71,5,17,32,10,5,33,70,20,28.57,4,2,8,4,50.0,65,35,53.85,30,13,43.33,1,0,0.0,49,19,11,1,0,141,98,69.5,56,54,96.43,114,105,92.11,52,29,55.77,60,44,73.33,75,55,73.33,4,3,75.0,14,9,64.29,4,16.7,3.59,14.05,13.52,20.71,10.84,1,1
6,2022-10-01,4-1-4-1,3,2.24,19,9,47.37,567,511,90.12,63.96,79,12,11,56,79,29,34,16,197,94,47.72,11,3,27.27,54,16,29.63,0,0,0.0,20,2,10.0,5,0,0.0,1,0,0.0,0,0,0,21,8,38.1,9,13,37,10,12,32,89,33,37.08,1,1,7,3,42.86,54,34,62.96,26,16,61.54,3,0,0.0,30,12,10,2,0,163,133,81.6,70,68,97.14,247,237,95.95,27,16,59.26,70,60,85.71,70,55,78.57,6,3,50.0,18,18,100.0,3,17.93,5.56,4.76,19.71,18.29,8.0,1,1
7,2022-09-18,4-2-3-1,3,1.34,13,7,53.85,571,515,90.19,65.27,84,15,27,42,94,34,40,20,224,104,46.43,6,2,33.33,33,8,24.24,2,0,0.0,20,5,25.0,3,1,33.33,2,0,0.0,0,0,0,7,1,14.29,1,12,20,2,3,16,73,27,36.99,1,0,4,1,25.0,56,41,73.21,36,16,44.44,0,0,0.0,44,17,10,2,0,162,130,80.25,107,103,96.26,200,187,93.5,37,20,54.05,67,53,79.1,62,50,80.65,5,0,0.0,18,18,100.0,6,18.05,5.65,6.48,18.38,16.83,6.83,0,-1
8,2022-09-04,4-2-3-1,1,1.29,16,3,18.75,460,394,85.65,61.28,75,7,22,46,71,16,34,21,160,75,46.88,7,1,14.29,42,11,26.19,1,0,0.0,24,4,16.67,5,2,40.0,3,0,0.0,0,0,0,22,8,36.36,8,13,39,11,11,36,68,32,47.06,0,3,9,6,66.67,36,20,55.56,17,6,35.29,2,1,50.0,24,6,9,3,0,153,126,82.35,78,66,84.62,158,141,89.24,47,28,59.57,52,44,84.62,63,55,87.3,6,2,33.33,19,18,94.74,3,16.25,4.74,10.22,19.37,19.34,9.09,0,1
9,2022-08-31,4-2-3-1,2,3.83,19,8,42.11,493,425,86.21,58.76,92,10,32,50,89,39,32,18,185,96,51.89,7,3,42.86,41,11,26.83,2,2,100.0,29,5,17.24,10,3,30.0,3,0,0.0,0,0,0,16,5,31.25,6,15,33,5,7,34,68,31,45.59,1,1,5,3,60.0,51,34,66.67,29,15,51.72,0,0,0.0,35,8,10,2,0,167,128,76.65,71,67,94.37,177,164,92.66,40,26,65.0,55,47,85.45,82,64,78.05,12,6,50.0,15,15,100.0,5,17.81,4.61,8.11,16.47,18.75,8.83,1,1
