,Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Score
0,2022-11-13,Brighton - Aston Villa 1:2,England. Premier League,101,Aston Villa,4-4-2 (75.95%),2,1.66,7,2,28.57,270,215,79.63,39.51,91,32,35,24,72,40,22,10,197,101,51.27,2,0,0.0,17,4,23.53,0,0,0.0,29,2,6.9,4,1,25.0,0,0,0.0,1,1,100,6,1,16.67,1,8,13,4,1,12,67,29,43.28,0,1,6,2,33.33,59,41,69.49,22,11,50.0,7,3,42.86,52,31,12,7,0,98,66,67.35,44,42,95.45,83,75,90.36,35,20,57.14,21,12,57.14,56,30,53.57,7,4,57.14,20,19,95.0,8,14.82,2.6,12.96,19.41,18.42,12.15,Brighton,Aston Villa,1:2
1,2022-11-06,Aston Villa - Manchester United 3:1,England. Premier League,99,Aston Villa,4-4-2 (100.0%),3,0.53,6,4,66.67,371,325,87.6,45.5,87,27,39,21,67,39,23,5,176,78,44.32,3,2,66.67,18,4,22.22,2,1,50.0,23,0,0.0,3,0,0.0,1,0,0.0,0,0,0,6,2,33.33,1,5,14,7,3,11,67,25,37.31,0,1,8,4,50.0,58,34,58.62,22,10,45.45,2,0,0.0,63,23,6,3,0,115,90,78.26,73,71,97.26,137,125,91.24,43,28,65.12,30,21,70.0,58,40,68.97,0,0,0.0,16,13,81.25,5,14.51,4.12,11.59,21.05,20.49,12.72,Aston Villa,Manchester United,3:1
2,2022-10-29,Newcastle United - Aston Villa 4:0,England. Premier League,104,Aston Villa,4-2-3-1 (100.0%),0,0.43,3,0,0.0,339,262,77.29,43.55,118,22,63,33,77,37,36,4,179,71,39.66,0,0,0.0,16,3,18.75,1,0,0.0,20,0,0.0,0,0,0.0,1,0,0.0,0,0,0,10,1,10.0,1,3,14,3,5,9,71,22,30.99,3,4,18,7,38.89,68,34,50.0,23,8,34.78,3,0,0.0,55,16,11,1,0,135,89,65.93,52,51,98.08,93,78,83.87,48,22,45.83,34,19,55.88,65,39,60.0,0,0,0.0,20,20,100.0,9,15.65,3.49,14.16,15.33,19.04,11.63,Newcastle United,Aston Villa,4:0
3,2022-10-23,Aston Villa - Brentford 4:0,England. Premier League,95,Aston Villa,4-2-3-1 (100.0%),4,3.63,19,10,52.63,306,247,80.72,46.69,106,19,54,33,81,31,38,12,206,104,50.49,8,3,37.5,31,15,48.39,0,0,0.0,22,3,13.64,7,2,28.57,2,0,0.0,1,1,100,7,3,42.86,3,9,15,3,4,18,63,26,41.27,0,0,11,3,27.27,73,49,67.12,42,18,42.86,4,3,75.0,44,21,14,1,0,112,79,70.54,47,45,95.74,99,90,90.91,35,22,62.86,26,17,65.38,49,31,63.27,4,0,0.0,20,18,90.0,8,17.1,2.89,11.44,17.96,19.21,7.78,Aston Villa,Brentford,4:0
4,2022-10-20,Fulham - Aston Villa 3:0,England. Premier League,94,Aston Villa,4-3-3 (66.43%),0,1.6,11,6,54.55,289,235,81.31,35.98,90,17,37,36,66,33,28,5,150,76,50.67,3,2,66.67,18,6,33.33,1,0,0.0,26,5,19.23,7,1,14.29,3,3,100.0,0,0,0,10,6,60.0,6,3,17,3,8,10,45,21,46.67,3,3,18,9,50.0,48,27,56.25,29,14,48.28,2,2,100.0,44,15,10,2,1,94,62,65.96,55,53,96.36,100,88,88.0,35,19,54.29,43,25,58.14,47,34,72.34,4,1,25.0,16,15,93.75,9,18.38,3.52,12.11,15.97,19.78,13.08,Fulham,Aston Villa,3:0
5,2022-10-16,Aston Villa - Chelsea 0:2,England. Premier League,98,Aston Villa,4-3-3 (81.47%),0,1.88,16,7,43.75,349,281,80.52,41.36,97,8,33,56,76,26,34,16,209,108,51.67,6,3,50.0,31,10,32.26,1,0,0.0,21,5,23.81,7,2,28.57,3,2,66.67,0,0,0,28,9,32.14,9,3,25,6,13,20,77,34,44.16,3,2,8,4,50.0,78,47,60.26,29,17,58.62,6,4,66.67,33,12,12,0,0,116,83,71.55,56,52,92.86,137,119,86.86,54,31,57.41,44,26,59.09,64,48,75.0,8,2,25.0,24,23,95.83,2,16.47,3.53,15.47,16.17,22.45,13.12,Aston Villa,Chelsea,0:2
6,2022-10-10,Nottingham Forest - Aston Villa 1:1,England. Premier League,95,Aston Villa,4-3-3 (70.32%),1,0.65,10,2,20.0,496,430,86.69,60.41,88,13,19,56,77,32,29,16,230,104,45.22,5,1,20.0,32,4,12.5,0,0,0.0,20,4,20.0,4,3,75.0,6,0,0.0,0,0,0,22,3,13.64,4,8,31,5,10,23,69,23,33.33,3,1,6,3,50.0,85,55,64.71,40,13,32.5,4,1,25.0,45,10,19,3,0,160,129,80.63,68,64,94.12,209,190,90.91,42,27,64.29,73,57,78.08,73,61,83.56,2,2,100.0,22,20,90.91,3,17.69,5.28,8.47,19.64,19.75,5.24,Nottingham Forest,Aston Villa,1:1
7,2022-10-02,Leeds United - Aston Villa 0:0,England. Premier League,99,Aston Villa,4-3-3 (87.68%),0,1.87,18,6,33.33,429,350,81.59,54.52,115,9,49,57,101,29,59,13,234,115,49.15,7,1,14.29,33,12,36.36,1,0,0.0,34,6,17.65,9,1,11.11,6,1,16.67,0,0,0,13,6,46.15,5,14,32,9,7,25,87,41,47.13,2,0,7,2,28.57,59,31,52.54,45,20,44.44,6,3,50.0,35,8,12,2,0,161,118,73.29,76,68,89.47,140,125,89.29,57,32,56.14,66,50,75.76,84,70,83.33,5,3,60.0,16,16,100.0,4,16.88,4.09,13.29,19.87,21.44,8.42,Leeds United,Aston Villa,0:0
8,2022-09-16,Aston Villa - Southampton 1:0,England. Premier League,99,Aston Villa,4-3-2-1 (100.0%),1,1.62,14,3,21.43,380,301,79.21,48.02,136,19,53,64,100,34,52,14,265,138,52.08,7,0,0.0,31,7,22.58,1,1,100.0,26,4,15.38,6,3,50.0,5,1,20.0,0,0,0,16,5,31.25,5,6,24,2,13,14,84,28,33.33,1,0,6,0,0.0,88,60,68.18,59,34,57.63,4,2,50.0,41,27,13,3,0,137,90,65.69,65,63,96.92,121,104,85.95,52,29,55.77,59,36,61.02,67,51,76.12,3,0,0.0,27,23,85.19,8,17.51,3.19,13.68,22.28,20.51,6.64,Aston Villa,Southampton,1:0
9,2022-09-03,Aston Villa - Manchester City 1:1,England. Premier League,96,Aston Villa,4-3-2-1 (100.0%),1,0.72,3,1,33.33,257,195,75.88,29.32,99,25,40,34,65,39,23,3,152,74,48.68,1,0,0.0,14,2,14.29,2,1,50.0,17,0,0.0,1,0,0.0,2,0,0.0,0,0,0,8,2,25.0,3,1,13,5,6,7,37,13,35.14,4,1,12,4,33.33,52,37,71.15,48,17,35.42,1,0,0.0,45,19,7,2,0,100,61,61.0,40,35,87.5,80,70,87.5,54,28,51.85,36,19,52.78,65,36,55.38,2,1,50.0,17,16,94.12,11,15.61,3.1,21.01,15.79,21.56,23.95,Aston Villa,Manchester City,1:1
