,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,2022-11-12,3,3,2.83,14,9,64.29,273,227,83.15,37.65,86,16,38,32,78,36,35,7,255,118,46.27,4,2,50.0,21,8,38.1,6,2,33.33,25,4,16.0,3,0,0.0,2,2,100.0,0,0,0,9,5,55.56,4,9,19,7,4,26,93,32,34.41,1,0,13,2,15.38,60,40,66.67,43,24,55.81,3,0,0.0,55,23,12,2,0,113,87,76.99,44,41,93.18,73,63,86.3,32,18,56.25,27,17,62.96,51,38,74.51,5,3,60.0,13,12,92.31,15,14.65,2.79,11.72,14.41,17.58,12.93,1,1
1,1,2022-11-05,3,3,1.54,9,7,77.78,254,200,78.74,41.87,94,28,33,33,79,42,29,8,248,94,37.9,1,0,0.0,19,4,21.05,3,1,33.33,27,4,14.81,3,2,66.67,3,1,33.33,0,0,0,12,3,25.0,3,1,17,4,7,15,83,19,22.89,0,4,16,5,31.25,59,34,57.63,46,18,39.13,4,1,25.0,70,36,10,2,0,97,71,73.2,26,23,88.46,98,81,82.65,34,20,58.82,31,21,67.74,47,35,74.47,0,0,0.0,21,21,100.0,9,14.19,2.33,13.39,13.51,19.09,9.44,0,-1
2,2,2022-10-29,7,2,0.68,5,3,60.0,271,225,83.03,33.22,93,32,33,28,79,52,19,8,216,88,40.74,1,0,0.0,11,3,27.27,5,1,20.0,19,1,5.26,2,1,50.0,2,0,0.0,0,0,0,9,3,33.33,3,2,13,2,6,12,52,14,26.92,0,3,18,6,33.33,82,41,50.0,47,21,44.68,5,2,40.0,72,43,10,1,0,95,69,72.63,42,41,97.62,83,77,92.77,33,23,69.7,22,11,50.0,45,35,77.78,4,1,25.0,13,11,84.62,11,15.66,3.15,12.18,15.19,19.35,16.67,1,-1
3,3,2022-10-24,6,0,0.71,5,3,60.0,397,348,87.66,44.44,104,29,42,33,79,32,42,5,219,100,45.66,1,0,0.0,27,3,11.11,2,1,50.0,14,1,7.14,0,0,0.0,2,1,50.0,0,0,0,9,3,33.33,3,2,18,3,6,7,67,19,28.36,0,2,18,4,22.22,77,49,63.64,40,20,50.0,7,3,42.86,43,15,11,2,0,123,96,78.05,70,68,97.14,124,108,87.1,36,25,69.44,45,35,77.78,58,41,70.69,2,0,0.0,18,17,94.44,10,17.47,4.56,9.07,13.87,17.4,17.0,0,-1
4,4,2022-10-19,11,0,1.55,17,4,23.53,502,417,83.07,53.8,114,13,34,67,88,27,38,23,192,91,47.4,5,1,20.0,39,11,28.21,2,0,0.0,23,5,21.74,7,3,42.86,4,1,25.0,0,0,0,21,9,42.86,8,10,35,5,13,29,73,24,32.88,2,1,8,3,37.5,66,42,63.64,29,16,55.17,2,1,50.0,34,7,8,1,0,177,127,71.75,89,86,96.63,157,139,88.54,55,32,58.18,60,43,71.67,76,58,76.32,2,0,0.0,24,20,83.33,3,17.44,4.61,10.96,16.0,18.75,10.5,1,-1
5,5,2022-10-15,3,2,1.67,10,6,60.0,262,196,74.81,32.66,117,38,50,29,85,46,31,8,193,83,43.01,2,1,50.0,17,4,23.53,1,0,0.0,21,6,28.57,6,5,83.33,2,0,0.0,0,0,0,7,2,28.57,3,7,12,6,2,19,46,12,26.09,0,2,18,4,22.22,73,36,49.32,43,21,48.84,3,1,33.33,62,20,11,0,0,109,72,66.06,47,43,91.49,61,48,78.69,38,19,50.0,26,18,69.23,67,33,49.25,0,0,0.0,15,14,93.33,9,16.04,3.05,14.5,13.98,19.62,16.05,0,0
6,6,2022-10-08,3,2,1.4,9,4,44.44,415,359,86.51,46.74,109,19,42,48,83,41,26,16,202,74,36.63,2,0,0.0,29,5,17.24,1,0,0.0,26,3,11.54,7,2,28.57,3,0,0.0,0,0,0,19,8,42.11,6,9,23,4,10,18,100,28,28.0,3,1,5,3,60.0,49,29,59.18,29,8,27.59,3,2,66.67,37,10,7,1,0,148,117,79.05,80,78,97.5,131,122,93.13,37,22,59.46,42,31,73.81,70,55,78.57,0,0,0.0,26,23,88.46,3,16.59,4.11,8.92,15.64,19.9,19.2,1,1
7,7,2022-10-01,3,0,0.54,7,1,14.29,359,300,83.57,41.96,106,23,35,48,86,42,29,15,199,92,46.23,2,0,0.0,22,4,18.18,1,0,0.0,28,2,7.14,7,2,28.57,3,0,0.0,0,0,0,17,6,35.29,8,5,19,1,10,11,68,23,33.82,1,0,11,2,18.18,58,35,60.34,38,22,57.89,0,0,0.0,43,17,11,1,0,131,96,73.28,55,53,96.36,112,97,86.61,43,20,46.51,52,35,67.31,61,41,67.21,4,2,50.0,10,9,90.0,11,17.09,3.7,11.98,17.24,19.61,14.92,1,0
8,8,2022-09-17,2,1,0.91,10,3,30.0,204,159,77.94,33.37,91,43,23,25,83,52,22,9,214,103,48.13,4,2,50.0,11,3,27.27,8,4,50.0,22,3,13.64,1,1,100.0,3,0,0.0,0,0,0,7,1,14.29,1,5,13,3,3,10,66,28,42.42,1,1,19,7,36.84,62,42,67.74,37,20,54.05,6,3,50.0,60,41,11,2,0,80,57,71.25,39,34,87.18,53,44,83.02,28,16,57.14,28,17,60.71,45,27,60.0,3,2,66.67,15,10,66.67,11,12.7,1.98,13.73,19.13,20.0,16.0,0,0
9,9,2022-09-03,6,3,0.75,9,3,33.33,437,361,82.61,44.51,103,33,29,41,79,42,28,9,193,95,49.22,3,1,33.33,21,5,23.81,2,1,50.0,23,2,8.7,6,2,33.33,4,0,0.0,0,0,0,14,1,7.14,1,7,22,5,8,16,61,27,44.26,1,2,11,4,36.36,53,36,67.92,32,16,50.0,3,2,66.67,46,22,10,1,0,145,105,72.41,79,74,93.67,139,123,88.49,34,11,32.35,51,31,60.78,50,33,66.0,6,2,33.33,29,27,93.1,6,18.82,4.28,7.78,18.48,17.65,13.14,0,1
