,Date,Match,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Home,Win
0,2022-11-12,Manchester City - Brentford 1:2,Brentford,3-5-2,2,2.24,10,8,80.0,191,133,69.63,27.61,122,56,27,39,84,52,23,9,202,92,45.54,2,1,50.0,15,2,13.33,4,3,75.0,26,5,19.23,2,0,0.0,3,1,33.33,0,0,0,9,4,44.44,4,11,21,4,5,20,33,15,45.45,2,1,25,5,20.0,59,33,55.93,61,25,40.98,2,1,50.0,80,37,7,2,0,80,48,60.0,25,21,84.0,55,41,74.55,37,22,59.46,34,21,61.76,52,33,63.46,6,3,50.0,7,7,100.0,16,13.6,2.15,19.37,15.2,20.58,13.0,Manchester City,Brentford,0,1
1,2022-11-05,Nottingham Forest - Brentford 2:2,Brentford,4-3-3,2,1.13,5,2,40.0,428,339,79.21,52.66,116,33,39,44,88,46,31,11,212,91,42.92,2,1,50.0,25,3,12.0,1,0,0.0,23,1,4.35,3,0,0.0,0,0,0.0,1,1,100,15,3,20.0,3,6,20,3,7,12,58,23,39.66,2,2,14,8,57.14,66,36,54.55,52,19,36.54,0,0,0.0,35,31,12,2,0,151,92,60.93,55,52,94.55,181,162,89.5,60,25,41.67,49,24,48.98,66,37,56.06,5,2,40.0,23,20,86.96,12,15.97,4.12,14.02,17.47,22.07,13.39,Nottingham Forest,Brentford,0,0
2,2022-10-29,Brentford - Wolverhampton Wanderers 1:1,Brentford,4-3-3,1,1.21,9,3,33.33,398,331,83.17,57.63,91,15,26,50,82,42,25,15,227,100,44.05,4,0,0.0,27,6,22.22,1,0,0.0,29,3,10.34,3,1,33.33,5,2,40.0,0,0,0,13,5,38.46,5,7,27,5,12,17,74,25,33.78,0,1,11,4,36.36,68,36,52.94,42,23,54.76,4,2,50.0,39,19,11,3,0,139,101,72.66,59,53,89.83,141,125,88.65,44,23,52.27,47,33,70.21,69,50,72.46,6,4,66.67,23,20,86.96,9,16.48,3.79,11.06,16.0,19.7,6.33,Brentford,Wolverhampton Wanderers,1,0
3,2022-10-23,Aston Villa - Brentford 4:0,Brentford,3-5-2,0,1.5,11,3,27.27,389,308,79.18,53.31,105,17,40,48,83,31,41,11,206,92,44.66,5,2,40.0,29,7,24.14,1,0,0.0,22,4,18.18,6,3,50.0,1,0,0.0,0,0,0,13,2,15.38,2,4,18,0,9,12,73,24,32.88,1,4,19,11,57.89,63,37,58.73,42,20,47.62,2,1,50.0,42,7,11,0,0,127,91,71.65,69,63,91.3,110,89,80.91,42,23,54.76,36,27,75.0,56,37,66.07,10,3,30.0,32,25,78.13,3,19.03,3.47,10.8,17.8,17.4,7.41,Aston Villa,Brentford,0,-1
4,2022-10-19,Brentford - Chelsea 0:0,Brentford,5-3-2,0,0.89,8,5,62.5,313,235,75.08,36.54,125,36,29,60,97,49,33,15,196,86,43.88,1,1,100.0,20,4,20.0,3,1,33.33,19,3,15.79,6,0,0.0,2,1,50.0,0,0,0,21,7,33.33,7,9,29,3,13,18,58,21,36.21,2,0,13,5,38.46,66,37,56.06,30,12,40.0,4,1,25.0,64,28,7,0,0,127,80,62.99,51,49,96.08,97,80,82.47,49,26,53.06,49,32,65.31,73,50,68.49,2,1,50.0,18,17,94.44,6,15.57,2.82,15.65,16.52,21.17,12.32,Brentford,Chelsea,1,0
5,2022-10-14,Brentford - Brighton 2:0,Brentford,4-3-3,2,2.19,8,3,37.5,205,163,79.51,29.67,110,30,40,40,93,46,35,12,225,104,46.22,2,0,0.0,19,5,26.32,1,0,0.0,26,2,7.69,2,0,0.0,4,1,25.0,1,1,100,11,4,36.36,4,6,14,2,7,15,72,30,41.67,0,0,18,7,38.89,53,27,50.94,43,22,51.16,4,2,50.0,57,34,12,3,0,98,72,73.47,26,25,96.15,46,40,86.96,37,25,67.57,27,19,70.37,49,34,69.39,1,1,100.0,13,11,84.62,8,14.95,2.18,18.05,13.11,20.69,12.07,Brentford,Brighton,1,1
6,2022-10-08,Newcastle United - Brentford 5:1,Brentford,5-3-2,1,1.19,6,3,50.0,306,246,80.39,45.62,87,25,16,46,81,37,30,14,202,101,50.0,1,1,100.0,20,2,10.0,0,0,0.0,23,3,13.04,5,0,0.0,3,1,33.33,1,1,100,15,5,33.33,5,4,23,3,9,16,53,23,43.4,3,5,16,7,43.75,59,39,66.1,40,20,50.0,3,1,33.33,39,15,9,1,0,115,81,70.43,49,46,93.88,85,72,84.71,50,28,56.0,38,25,65.79,60,46,76.67,5,1,20.0,14,13,92.86,7,16.17,3.12,16.34,15.16,19.8,10.13,Newcastle United,Brentford,0,-1
7,2022-10-01,Bournemouth - Brentford 0:0,Brentford,4-3-3,0,1.45,11,2,18.18,516,443,85.85,58.04,103,25,26,52,75,29,31,15,199,94,47.24,3,1,33.33,34,7,20.59,1,0,0.0,28,3,10.71,8,3,37.5,2,0,0.0,0,0,0,16,5,31.25,4,12,23,2,9,17,58,23,39.66,2,0,7,1,14.29,68,45,66.18,38,10,26.32,4,1,25.0,34,21,10,2,0,170,126,74.12,81,79,97.53,203,189,93.1,38,21,55.26,54,38,70.37,56,44,78.57,6,4,66.67,19,19,100.0,8,17.76,4.96,7.36,15.1,18.01,9.79,Bournemouth,Brentford,0,0
8,2022-09-18,Brentford - Arsenal 0:3,Brentford,5-3-2,0,0.32,4,1,25.0,316,242,76.58,34.73,101,24,41,36,75,33,33,9,224,102,45.54,1,0,0.0,20,2,10.0,0,0,0.0,18,1,5.56,3,0,0.0,4,1,25.0,0,0,0,15,4,26.67,3,3,18,1,9,12,56,15,26.79,3,3,13,7,53.85,73,46,63.01,36,17,47.22,3,1,33.33,35,17,10,0,0,117,70,59.83,56,52,92.86,90,76,84.44,55,31,56.36,37,20,54.05,59,37,62.71,4,1,25.0,19,19,100.0,4,18.78,3.43,17.41,15.2,20.93,15.23,Brentford,Arsenal,1,-1
9,2022-09-03,Brentford - Leeds United 5:2,Brentford,4-3-3,5,2.31,14,8,57.14,193,133,68.91,34.61,100,21,31,48,79,40,28,11,208,101,48.56,5,2,40.0,21,7,33.33,6,2,33.33,17,2,11.76,2,1,50.0,4,0,0.0,1,1,100,5,3,60.0,3,6,15,1,4,15,66,22,33.33,1,2,15,6,40.0,77,52,67.53,31,17,54.84,5,2,40.0,57,25,8,2,0,87,44,50.57,20,20,100.0,64,56,87.5,35,12,34.29,34,18,52.94,35,18,51.43,5,1,20.0,20,18,90.0,9,14.03,1.95,18.13,18.84,22.62,7.7,Brentford,Leeds United,1,1
