,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,2022-11-13,6,1,0.94,6,2,33.33,516,446,86.43,60.49,100,11,28,61,83,26,41,16,197,83,42.13,3,1,33.33,25,1,4.0,3,1,33.33,27,4,14.81,11,1,9.09,2,0,0.0,0,0,0,24,8,33.33,8,5,33,1,17,15,59,18,30.51,3,2,7,2,28.57,67,38,56.72,22,11,50.0,3,2,66.67,40,6,14,2,0,151,126,83.44,73,69,94.52,194,170,87.63,29,14,48.28,64,49,76.56,64,51,79.69,4,1,25.0,27,24,88.89,4,18.5,5.06,5.62,18.97,18.63,6.2,1,-1
1,1,2022-11-05,3,3,2.31,19,8,42.11,633,573,90.52,68.29,87,13,28,46,82,36,35,11,176,93,52.84,7,3,42.86,38,9,23.68,1,0,0.0,27,7,25.93,9,2,22.22,4,1,25.0,0,0,0,13,4,30.77,3,20,31,8,6,31,64,34,53.13,1,2,8,6,75.0,52,25,48.08,32,22,68.75,2,2,100.0,24,12,11,0,0,166,134,80.72,86,83,96.51,285,270,94.74,28,15,53.57,70,59,84.29,76,61,80.26,9,5,55.56,16,15,93.75,2,18.91,6.46,4.42,17.26,18.29,10.18,0,1
2,2,2022-10-29,2,4,3.05,19,9,47.37,326,267,81.9,42.32,93,25,39,29,80,41,23,16,218,109,50.0,4,2,50.0,20,12,60.0,3,2,66.67,22,5,22.73,8,3,37.5,1,0,0.0,0,0,0,10,3,30.0,3,12,28,7,6,26,72,27,37.5,0,1,15,8,53.33,83,50,60.24,35,19,54.29,3,1,33.33,53,17,16,1,0,115,87,75.65,54,49,90.74,100,84,84.0,33,19,57.58,31,23,74.19,68,47,69.12,6,3,50.0,14,11,78.57,9,16.13,3.33,10.12,16.02,19.04,11.52,1,1
3,3,2022-10-22,9,1,0.6,8,2,25.0,442,368,83.26,51.66,89,23,28,38,66,29,28,9,162,79,48.77,4,1,25.0,24,6,25.0,0,0,0.0,23,2,8.7,3,1,33.33,2,0,0.0,0,0,0,13,3,23.08,2,5,19,4,9,9,52,26,50.0,4,3,10,4,40.0,66,33,50.0,13,8,61.54,1,0,0.0,34,9,12,3,0,149,107,71.81,73,68,93.15,164,151,92.07,45,24,53.33,54,36,66.67,77,48,62.34,1,0,0.0,21,19,90.48,9,16.69,5.14,10.18,22.71,19.87,12.75,0,-1
4,4,2022-10-18,12,0,2.33,18,7,38.89,619,542,87.56,69.8,105,14,33,58,82,27,36,19,166,87,52.41,5,1,20.0,35,11,31.43,0,0,0.0,27,6,22.22,9,3,33.33,4,1,25.0,0,0,0,23,8,34.78,7,21,38,6,14,44,55,22,40.0,1,0,2,0,0.0,41,27,65.85,34,16,47.06,3,1,33.33,32,8,10,3,0,167,132,79.04,82,78,95.12,254,234,92.13,35,21,60.0,72,57,79.17,78,58,74.36,3,1,33.33,28,27,96.43,5,17.85,6.13,5.65,15.77,18.66,7.48,1,0
5,5,2022-10-14,6,0,1.83,18,7,38.89,612,529,86.44,70.33,108,17,33,58,93,35,44,14,225,108,48.0,7,3,42.86,40,12,30.0,0,0,0.0,28,6,21.43,11,3,27.27,2,0,0.0,0,0,0,27,11,40.74,9,19,39,4,15,35,53,26,49.06,3,2,8,3,37.5,72,42,58.33,43,18,41.86,4,3,75.0,27,17,15,1,0,184,140,76.09,72,67,93.06,227,209,92.07,44,26,59.09,76,62,81.58,89,69,77.53,10,5,50.0,20,17,85.0,6,18.83,6.12,7.19,17.26,17.3,4.15,0,-1
6,6,2022-10-08,11,0,0.7,13,4,30.77,657,579,88.13,57.35,115,13,53,49,95,32,49,14,176,96,54.55,6,2,33.33,28,7,25.0,0,0,0.0,36,6,16.67,6,1,16.67,2,0,0.0,0,0,0,14,6,42.86,5,15,30,7,6,27,59,25,42.37,1,1,9,3,33.33,62,45,72.58,27,13,48.15,4,2,50.0,30,8,10,1,0,183,139,75.96,88,87,98.86,261,242,92.72,30,11,36.67,70,60,85.71,73,51,69.86,12,5,41.67,19,18,94.74,13,19.69,6.38,4.57,19.46,17.38,12.26,1,-1
7,7,2022-10-01,9,3,1.0,6,6,100.0,430,345,80.23,45.22,118,32,49,37,88,51,23,14,205,98,47.8,0,0,0.0,17,4,23.53,4,0,0.0,21,2,9.52,2,0,0.0,1,0,0.0,0,0,0,10,4,40.0,3,10,22,5,6,19,57,19,33.33,0,3,14,8,57.14,78,54,69.23,27,9,33.33,4,2,50.0,51,19,13,1,0,148,104,70.27,54,50,92.59,168,147,87.5,50,32,64.0,35,22,62.86,76,41,53.95,2,1,50.0,16,9,56.25,11,18.36,4.02,11.63,12.24,19.57,14.27,0,0
8,8,2022-09-04,5,5,2.74,23,9,39.13,486,422,86.83,57.37,80,10,18,52,77,27,25,25,168,84,50.0,12,3,25.0,37,12,32.43,3,2,66.67,25,4,16.0,10,4,40.0,4,0,0.0,1,1,100,18,7,38.89,7,13,26,4,8,26,64,28,43.75,2,2,6,4,66.67,53,34,64.15,27,12,44.44,3,1,33.33,40,8,6,1,0,139,110,79.14,59,57,96.61,221,204,92.31,47,20,42.55,61,45,73.77,72,62,86.11,8,6,75.0,16,14,87.5,5,16.98,5.34,9.67,19.06,20.89,8.05,1,1
9,9,2022-08-30,11,1,2.11,8,3,37.5,513,446,86.94,59.86,104,22,36,46,90,37,40,13,216,94,43.52,2,1,50.0,33,4,12.12,0,0,0.0,22,3,13.64,3,1,33.33,1,0,0.0,1,1,100,18,6,33.33,7,7,27,2,14,15,66,22,33.33,2,2,8,3,37.5,67,46,68.66,32,14,43.75,3,3,100.0,39,9,11,1,0,162,124,76.54,82,81,98.78,210,195,92.86,48,31,64.58,63,43,68.25,77,63,81.82,2,2,100.0,26,24,92.31,11,17.76,5.08,9.36,14.89,20.03,7.59,0,-1
