,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,2022-05-22,4-4-2,1,2.06,11,5,45.45,337,255,75.67,48.59,116,8,39,69,99,30,52,17,209,97,46.41,3,2,66.67,32,8,25.0,1,0,0.0,24,3,12.5,8,2,25.0,1,0,0.0,0,0,0,15,6,40.0,6,7,25,1,12,20,56,16,28.57,5,2,8,6,75.0,48,32,66.67,48,23,47.92,4,1,25.0,32,11,8,1,0,134,84,62.69,45,43,95.56,94,77,81.91,45,21,46.67,61,35,57.38,67,48,71.64,5,1,20.0,35,34,97.14,8,17.45,2.93,13.35,13.93,20.61,12.68,1,-1
1,1,2022-05-19,5-4-1,1,1.71,7,4,57.14,193,154,79.79,29.87,103,36,18,49,57,33,14,10,158,68,43.04,3,2,66.67,14,3,21.43,0,0,0.0,28,3,10.71,6,2,33.33,5,0,0.0,1,1,100,8,4,50.0,3,4,7,0,5,12,45,15,33.33,0,1,21,9,42.86,57,29,50.88,41,20,48.78,3,1,33.33,46,30,20,1,1,66,45,68.18,39,35,89.74,58,51,87.93,29,18,62.07,28,20,71.43,36,24,66.67,1,0,0.0,12,9,75.0,15,14.36,2.3,15.03,15.38,21.58,17.33,0,0
2,2,2022-05-15,5-3-2,0,1.36,9,1,11.11,279,227,81.36,31.75,95,30,28,37,71,38,28,5,196,87,44.39,1,0,0.0,20,4,20.0,0,0,0.0,21,5,23.81,2,0,0.0,5,4,80.0,0,0,0,11,3,27.27,2,8,18,1,9,12,43,13,30.23,2,1,19,9,47.37,65,35,53.85,52,22,42.31,2,0,0.0,49,27,8,2,0,91,63,69.23,46,45,97.83,101,83,82.18,44,30,68.18,51,31,60.78,57,44,77.19,3,2,66.67,15,12,80.0,9,16.6,3.03,15.77,13.68,21.49,25.0,0,-1
3,3,2022-05-07,4-4-2,1,1.34,13,6,46.15,411,344,83.7,49.43,99,11,42,46,84,42,31,11,205,102,49.76,5,3,60.0,30,6,20.0,5,3,60.0,19,4,21.05,4,2,50.0,4,2,50.0,0,0,0,16,5,31.25,5,5,23,3,11,16,59,26,44.07,1,3,12,7,58.33,68,43,63.24,39,22,56.41,5,1,20.0,51,9,13,1,0,158,120,75.95,64,58,90.63,147,133,90.48,58,38,65.52,53,39,73.58,86,69,80.23,5,3,60.0,18,16,88.89,3,17.61,4.07,14.11,17.4,22.42,7.93,1,-1
4,4,2022-04-30,4-4-2,2,1.31,15,5,33.33,354,283,79.94,51.13,135,28,43,64,104,51,34,19,265,114,43.02,6,1,16.67,33,8,24.24,0,0,0.0,26,6,23.08,6,3,50.0,5,3,60.0,0,0,0,15,7,46.67,7,16,24,3,10,28,67,24,35.82,0,1,13,2,15.38,69,31,44.93,81,37,45.68,5,2,40.0,43,24,9,2,0,131,97,74.05,61,54,88.52,110,93,84.55,39,26,66.67,52,39,75.0,71,50,70.42,3,3,100.0,27,24,88.89,11,16.7,3.16,11.02,16.38,18.93,10.3,0,1
5,5,2022-04-24,4-4-2,1,1.55,11,5,45.45,328,259,78.96,35.81,111,16,53,42,107,50,45,12,208,98,47.12,5,3,60.0,29,7,24.14,0,0,0.0,16,4,25.0,3,1,33.33,2,0,0.0,0,0,0,8,2,25.0,2,12,20,3,4,11,70,19,27.14,5,0,9,4,44.44,71,50,70.42,38,17,44.74,7,4,57.14,49,24,8,3,0,136,99,72.79,46,40,86.96,82,71,86.59,42,24,57.14,38,29,76.32,79,52,65.82,8,3,37.5,15,13,86.67,6,17.28,3.04,12.8,20.16,18.72,12.59,1,1
6,6,2022-04-21,4-4-2,2,2.43,14,6,42.86,348,267,76.72,43.87,112,19,30,63,95,51,28,16,187,86,45.99,4,2,50.0,28,8,28.57,3,1,33.33,24,5,20.83,10,5,50.0,1,0,0.0,0,0,0,15,3,20.0,3,10,14,2,6,27,67,22,32.84,3,0,9,3,33.33,49,26,53.06,34,18,52.94,4,1,25.0,51,16,7,2,0,139,88,63.31,51,49,96.08,105,93,88.57,53,28,52.83,55,31,56.36,71,47,66.2,0,0,0.0,23,23,100.0,6,16.23,3.14,15.23,14.72,22.91,13.24,1,1
7,7,2022-04-17,4-4-2,1,2.53,9,1,11.11,297,239,80.47,42.88,101,25,22,54,86,37,33,16,180,82,45.56,2,0,0.0,24,3,12.5,2,0,0.0,21,5,23.81,4,2,50.0,3,2,66.67,1,0,0,18,3,16.67,3,6,21,2,11,14,44,17,38.64,1,1,20,7,35.0,51,30,58.82,49,18,36.73,5,1,20.0,53,34,10,2,0,111,79,71.17,57,54,94.74,85,69,81.18,45,30,66.67,48,27,56.25,53,46,86.79,3,0,0.0,12,12,100.0,11,14.54,2.94,15.15,14.69,20.09,14.95,0,0
8,8,2022-04-10,4-4-2,0,1.7,17,3,17.65,405,313,77.28,52.83,145,18,42,85,120,46,47,27,252,126,50.0,7,1,14.29,50,11,22.0,1,1,100.0,27,4,14.81,7,3,42.86,8,1,12.5,0,0,0,31,13,41.94,14,8,45,7,22,25,63,23,36.51,3,2,16,6,37.5,68,46,67.65,68,36,52.94,3,0,0.0,46,22,11,1,0,156,108,69.23,72,66,91.67,117,90,76.92,80,54,67.5,69,49,71.01,95,78,82.11,7,3,42.86,29,27,93.1,6,17.17,2.96,19.75,17.27,20.38,5.79,0,-1
9,9,2022-04-06,4-4-2,3,1.85,14,4,28.57,313,221,70.61,49.44,140,35,33,72,95,45,27,23,223,108,48.43,3,0,0.0,38,9,23.68,0,0,0.0,31,5,16.13,9,2,22.22,3,2,66.67,0,0,0,21,7,33.33,8,11,26,5,4,35,59,25,42.37,1,2,16,3,18.75,63,31,49.21,56,30,53.57,1,0,0.0,56,22,11,2,0,120,73,60.83,53,48,90.57,84,69,82.14,62,27,43.55,48,21,43.75,61,42,68.85,0,0,0.0,36,32,88.89,10,16.59,2.32,19.81,15.82,22.02,6.32,1,1
