,Unnamed: 0.1,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,0,2019-05-12,2,2,1.54,13,4,30.77,192,132,68.75,33.53,89,16,31,42,70,44,21,5,193,84,43.52,7,2,28.57,21,7,33.33,5,0,0.0,23,5,21.74,2,1,50.0,2,2,100.0,1,1,100,4,0,0.0,0,6,13,2,2,16,57,20,35.09,0,0,26,10,38.46,69,42,60.87,33,10,30.3,2,1,50.0,56,18,6,3,0,107,66,61.68,22,19,86.36,33,29,87.88,50,26,52.0,38,22,57.89,59,38,64.41,9,4,44.44,22,17,77.27,14,11.7,1.68,26.04,21.62,23.51,26.27,0,1
1,1,1,2019-05-04,4,2,2.89,18,7,38.89,252,180,71.43,40.08,130,23,36,71,96,45,33,18,315,154,48.89,4,1,25.0,33,10,30.3,4,0,0.0,28,8,28.57,10,5,50.0,4,2,50.0,0,0,0,13,4,30.77,4,10,23,2,7,26,75,29,38.67,1,3,21,8,38.1,127,76,59.84,57,27,47.37,4,2,50.0,46,21,14,0,0,104,71,68.27,32,26,81.25,70,53,75.71,50,31,62.0,53,33,62.26,70,56,80.0,6,3,50.0,22,15,68.18,7,14.64,2.0,19.84,15.37,22.94,7.26,1,-1
2,2,2,2019-04-27,6,0,1.4,13,8,61.54,205,150,73.17,30.21,112,20,28,64,94,45,35,14,237,109,45.99,3,0,0.0,29,8,27.59,5,2,40.0,21,3,14.29,3,1,33.33,6,1,16.67,0,0,0,14,5,35.71,6,8,20,1,9,17,77,23,29.87,3,1,8,3,37.5,87,52,59.77,50,22,44.0,11,4,36.36,38,22,8,0,0,94,59,62.77,27,25,92.59,54,41,75.93,37,13,35.14,49,28,57.14,49,36,73.47,1,1,100.0,26,16,61.54,8,13.43,1.93,18.05,15.96,21.99,16.78,0,-1
3,3,3,2019-04-21,4,0,0.55,5,2,40.0,163,103,63.19,29.73,108,27,35,46,78,43,30,5,167,72,43.11,2,1,50.0,14,4,28.57,3,0,0.0,23,1,4.35,5,1,20.0,1,0,0.0,0,0,0,5,2,40.0,2,3,8,2,2,9,43,13,30.23,4,2,16,5,31.25,52,32,61.54,39,14,35.9,3,1,33.33,55,26,6,1,0,78,43,55.13,23,18,78.26,33,30,90.91,34,12,35.29,35,18,51.43,49,25,51.02,1,0,0.0,14,14,100.0,14,11.03,1.77,20.86,15.16,20.77,26.93,1,-1
4,4,4,2019-04-16,6,2,0.94,8,2,25.0,273,199,72.89,38.39,123,31,44,48,118,62,44,12,291,137,47.08,4,1,25.0,23,3,13.04,2,1,50.0,23,4,17.39,4,2,50.0,1,1,100.0,0,0,0,5,1,20.0,2,2,12,5,0,12,62,23,37.1,0,0,12,1,8.33,75,49,65.33,81,36,44.44,6,2,33.33,63,27,13,1,0,117,76,64.96,52,46,88.46,68,50,73.53,50,25,50.0,49,27,55.1,53,33,62.26,4,1,25.0,19,18,94.74,11,13.43,2.55,18.32,17.46,20.32,11.68,0,1
5,5,5,2019-04-13,4,0,0.64,15,2,13.33,309,239,77.35,52.27,114,28,33,53,103,50,37,16,244,113,46.31,12,2,16.67,30,9,30.0,3,1,33.33,21,4,19.05,4,1,25.0,1,0,0.0,0,0,0,15,4,26.67,5,8,22,2,10,10,55,26,47.27,0,2,14,9,64.29,59,35,59.32,69,31,44.93,3,1,33.33,42,25,10,3,0,111,72,64.86,47,45,95.74,96,78,81.25,56,32,57.14,60,42,70.0,68,48,70.59,4,1,25.0,23,16,69.57,10,14.96,2.78,18.12,23.25,21.28,7.95,0,-1
6,6,6,2019-04-03,2,0,0.13,3,1,33.33,163,120,73.62,24.52,80,24,20,36,56,32,16,8,147,58,39.46,1,1,100.0,8,1,12.5,1,0,0.0,23,2,8.7,4,2,50.0,0,0,0.0,0,0,0,5,1,20.0,1,3,5,1,2,6,36,9,25.0,1,2,27,11,40.74,62,34,54.84,31,11,35.48,0,0,0.0,42,25,7,3,0,79,53,67.09,28,26,92.86,34,29,85.29,30,13,43.33,30,15,50.0,31,23,74.19,3,0,0.0,6,5,83.33,21,12.5,2.26,18.4,16.59,21.13,38.89,0,-1
7,7,7,2019-03-31,6,1,0.52,8,3,37.5,216,148,68.52,32.65,98,12,33,53,89,37,41,11,277,142,51.26,4,2,50.0,19,4,21.05,2,0,0.0,27,2,7.41,2,1,50.0,7,0,0.0,0,0,0,8,2,25.0,2,3,15,2,5,10,56,26,46.43,2,2,18,3,16.67,106,63,59.43,57,30,52.63,3,1,33.33,51,11,8,2,0,103,57,55.34,30,27,90.0,52,43,82.69,55,29,52.73,53,28,52.83,49,34,69.39,4,1,25.0,19,14,73.68,11,12.25,2.02,25.46,20.14,23.92,18.63,1,-1
8,8,8,2019-03-09,6,2,3.5,14,6,42.86,208,162,77.88,32.95,101,14,32,55,94,32,41,21,253,102,40.32,5,1,20.0,24,8,33.33,5,4,80.0,23,2,8.7,6,1,16.67,4,1,25.0,0,0,0,7,4,57.14,4,6,17,1,3,16,83,22,26.51,2,0,9,1,11.11,77,45,58.44,36,12,33.33,6,5,83.33,50,19,7,2,0,93,59,63.44,27,27,100.0,58,53,91.38,41,19,46.34,47,29,61.7,57,47,82.46,11,6,54.55,17,13,76.47,5,13.62,2.0,19.71,16.55,23.25,10.81,1,1
9,9,9,2019-03-02,13,0,0.82,11,3,27.27,332,256,77.11,46.42,126,11,39,76,97,26,50,21,251,105,41.83,6,0,0.0,37,4,10.81,3,0,0.0,23,7,30.43,8,5,62.5,6,2,33.33,0,0,0,14,4,28.57,4,8,12,0,5,19,65,25,38.46,0,2,11,6,54.55,79,49,62.03,73,18,24.66,3,2,66.67,45,13,6,2,0,126,84,66.67,60,56,93.33,93,81,87.1,36,23,63.89,57,41,71.93,69,57,82.61,4,1,25.0,27,23,85.19,6,14.66,3.05,10.84,18.5,20.45,11.77,0,-1
