,Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Score
0,2022-11-12,Newcastle United - Chelsea 1:0,England. Premier League,101,Chelsea,3-4-2-1 (100.0%),0,0.52,3,2,66.67,471,405,85.99,52.34,99,21,49,29,90,53,29,8,223,97,43.5,1,0,0.0,29,3,10.34,0,0,0.0,25,0,0.0,3,0,0.0,2,0,0.0,0,0,0,11,1,9.09,3,3,14,4,7,6,72,18,25.0,0,1,8,2,25.0,78,53,67.95,41,13,31.71,3,1,33.33,42,14,11,2,0,174,137,78.74,77,74,96.1,174,156,89.66,60,39,65.0,52,42,80.77,88,61,69.32,1,0,0.0,20,18,90.0,6,17.55,4.53,12.74,15.77,20.19,10.44,Newcastle United,Chelsea,1:0
1,2022-11-06,Chelsea - Arsenal 0:1,England. Premier League,97,Chelsea,4-2-3-1 (100.0%),0,0.45,5,1,20.0,341,259,75.95,40.82,127,28,47,52,82,44,29,9,207,108,52.17,1,0,0.0,17,1,5.88,2,2,100.0,30,2,6.67,4,2,50.0,2,0,0.0,0,0,0,10,0,0.0,0,6,16,3,3,15,45,19,42.22,3,1,12,2,16.67,100,57,57.0,39,24,61.54,4,1,25.0,49,17,19,5,0,132,86,65.15,51,47,92.16,100,75,75.0,49,24,48.98,45,22,48.89,51,30,58.82,2,1,50.0,17,14,82.35,15,18.33,3.71,14.37,16.81,19.86,7.92,Chelsea,Arsenal,0:1
2,2022-10-29,Brighton - Chelsea 4:1,England. Premier League,97,Chelsea,3-4-2-1 (48.22%),1,1.67,15,7,46.67,484,428,88.43,57.68,98,20,31,47,71,22,37,12,218,102,46.79,6,2,33.33,38,12,31.58,1,1,100.0,30,2,6.67,7,2,28.57,1,0,0.0,0,0,0,12,4,33.33,4,8,29,5,7,21,83,33,39.76,0,4,19,11,57.89,72,45,62.5,35,14,40.0,2,2,100.0,43,12,6,2,0,150,123,82.0,70,68,97.14,167,156,93.41,35,23,65.71,54,45,83.33,63,46,73.02,6,3,50.0,23,22,95.65,9,17.57,4.57,7.23,18.0,16.98,8.2,Brighton,Chelsea,4:1
3,2022-10-22,Chelsea - Manchester United 1:1,England. Premier League,97,Chelsea,3-4-3 (36.7%),1,1.16,5,2,40.0,385,311,80.78,48.34,110,22,41,47,88,32,37,19,183,83,45.36,2,1,50.0,30,2,6.67,0,0,0.0,28,2,7.14,6,1,16.67,0,0,0.0,1,1,100,16,3,18.75,4,7,24,4,10,11,60,22,36.67,2,1,13,6,46.15,57,34,59.65,37,19,51.35,3,1,33.33,42,19,7,1,0,129,94,72.87,67,63,94.03,133,111,83.46,38,21,55.26,38,31,81.58,72,44,61.11,3,1,33.33,20,14,70.0,11,17.56,3.97,9.87,17.73,19.67,10.54,Chelsea,Manchester United,1:1
4,2022-10-19,Brentford - Chelsea 0:0,England. Premier League,98,Chelsea,3-4-3 (100.0%),0,0.5,13,5,38.46,650,563,86.62,63.46,122,25,31,66,110,48,33,29,196,97,49.49,10,3,30.0,39,10,25.64,4,1,25.0,18,2,11.11,2,0,0.0,0,0,0.0,0,0,0,22,7,31.82,6,15,47,10,8,28,66,29,43.94,0,0,8,5,62.5,58,37,63.79,30,15,50.0,1,1,100.0,54,28,7,0,0,189,140,74.07,119,112,94.12,238,223,93.7,47,31,65.96,75,62,82.67,76,55,72.37,13,4,30.77,21,18,85.71,8,18.62,6.07,7.23,23.08,17.04,7.56,Brentford,Chelsea,0:0
5,2022-10-16,Aston Villa - Chelsea 0:2,England. Premier League,98,Chelsea,3-4-3 (100.0%),2,1.32,8,4,50.0,524,451,86.07,58.64,102,32,38,32,71,36,34,1,209,97,46.41,3,1,33.33,25,5,20.0,0,0,0.0,25,2,8.0,1,0,0.0,1,0,0.0,0,0,0,8,4,50.0,3,4,10,3,3,8,78,31,39.74,1,0,16,7,43.75,77,43,55.84,29,12,41.38,2,0,0.0,53,13,11,3,0,176,132,75.0,97,92,94.85,202,185,91.58,45,23,51.11,38,22,57.89,67,44,65.67,0,0,0.0,20,18,90.0,11,17.45,5.04,8.59,16.73,19.88,8.07,Aston Villa,Chelsea,0:2
6,2022-10-08,Chelsea - Wolverhampton Wanderers 3:0,England. Premier League,98,Chelsea,4-2-3-1 (77.65%),3,2.09,18,7,38.89,562,495,88.08,53.53,83,11,28,44,78,28,33,17,202,98,48.51,3,2,66.67,34,12,35.29,6,4,66.67,17,2,11.76,4,1,25.0,0,0,0.0,0,0,0,11,5,45.45,5,21,31,2,7,34,63,20,31.75,3,0,9,2,22.22,88,58,65.91,29,10,34.48,3,1,33.33,45,14,7,2,0,177,137,77.4,87,84,96.55,197,184,93.4,31,18,58.06,59,49,83.05,69,57,82.61,7,3,42.86,20,18,90.0,6,19.76,6.04,5.52,15.31,16.73,9.78,Chelsea,Wolverhampton Wanderers,3:0
7,2022-10-01,Crystal Palace - Chelsea 1:2,England. Premier League,100,Chelsea,4-2-3-1 (89.93%),2,2.28,13,3,23.08,601,540,89.85,62.21,88,15,23,50,69,28,28,13,203,91,44.83,3,1,33.33,36,9,25.0,1,1,100.0,20,2,10.0,2,1,50.0,1,0,0.0,0,0,0,11,4,36.36,4,9,24,6,6,24,60,21,35.0,0,1,7,3,42.86,79,43,54.43,24,14,58.33,8,5,62.5,31,11,13,3,0,147,117,79.59,102,97,95.1,261,251,96.17,47,32,68.09,78,61,78.21,71,58,81.69,5,1,20.0,27,27,100.0,6,18.97,6.68,7.82,15.04,18.51,9.88,Crystal Palace,Chelsea,1:2
8,2022-09-03,Chelsea - West Ham United 2:1,England. Premier League,102,Chelsea,3-5-2 (78.78%),2,0.76,6,2,33.33,634,570,89.91,68.51,86,10,17,59,81,35,37,9,197,95,48.22,3,0,0.0,32,5,15.63,1,0,0.0,24,1,4.17,10,1,10.0,1,0,0.0,0,0,0,14,3,21.43,2,7,19,4,5,18,57,26,45.61,1,1,6,3,50.0,51,29,56.86,52,19,36.54,9,6,66.67,36,15,6,4,0,181,148,81.77,88,87,98.86,276,260,94.2,37,19,51.35,87,70,80.46,63,57,90.48,5,2,40.0,17,15,88.24,2,17.93,6.89,5.84,19.84,17.88,6.56,Chelsea,West Ham United,2:1
9,2022-08-30,Southampton - Chelsea 2:1,England. Premier League,97,Chelsea,4-4-2 (69.99%),1,1.1,8,4,50.0,547,458,83.73,67.22,129,27,40,62,108,50,42,16,246,113,45.93,3,1,33.33,31,5,16.13,3,0,0.0,20,3,15.0,3,1,33.33,2,0,0.0,0,0,0,24,8,33.33,7,7,35,7,14,20,79,32,40.51,3,2,9,6,66.67,71,46,64.79,46,19,41.3,2,1,50.0,55,30,10,1,0,194,146,75.26,84,79,94.05,187,170,90.91,41,26,63.41,71,51,71.83,77,56,72.73,5,3,60.0,31,29,93.55,2,16.99,4.72,7.5,15.97,17.68,5.33,Southampton,Chelsea,2:1
