,Unnamed: 0,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,0,2022-11-12,6,0,1.02,6,0,0.0,595,530,89.08,66.54,101,14,31,56,78,20,39,19,213,91,42.72,0,0,0.0,30,3,10.0,0,0,0.0,28,2,7.14,5,2,40.0,2,0,0.0,1,0,0,15,5,33.33,5,9,25,5,9,19,97,31,31.96,0,1,10,2,20.0,56,34,60.71,37,17,45.95,6,3,50.0,39,10,13,4,0,181,148,81.77,98,93,94.9,244,224,91.8,43,22,51.16,77,55,71.43,75,64,85.33,3,1,33.33,23,22,95.65,11,17.51,6.01,7.23,16.77,19.59,6.36,0,0
1,1,1,2022-11-06,6,2,0.97,15,6,40.0,562,496,88.26,56.66,97,7,37,53,80,35,37,8,187,86,45.99,8,4,50.0,30,10,33.33,1,1,100.0,22,2,9.09,5,2,40.0,3,0,0.0,0,0,0,12,2,16.67,0,13,31,9,4,21,78,28,35.9,0,1,5,2,40.0,54,41,75.93,21,8,38.1,6,2,33.33,39,4,6,1,0,167,135,80.84,93,90,96.77,226,206,91.15,49,31,63.27,76,59,77.63,78,59,75.64,5,1,20.0,17,11,64.71,4,18.88,6.24,8.72,20.6,19.37,11.07,0,2
2,2,2,2022-10-29,6,1,0.71,12,3,25.0,379,292,77.04,46.5,133,31,42,60,102,41,46,15,233,131,56.22,8,1,12.5,23,7,30.43,2,1,50.0,30,3,10.0,8,1,12.5,4,0,0.0,0,0,0,12,3,25.0,2,8,31,8,4,24,75,36,48.0,5,0,13,4,30.77,78,52,66.67,52,26,50.0,7,4,57.14,45,23,13,3,0,144,91,63.19,49,44,89.8,111,91,81.98,42,21,50.0,54,34,62.96,85,61,71.76,2,0,0.0,12,11,91.67,8,16.45,3.83,11.08,21.79,18.44,10.0,1,2
3,3,3,2022-10-22,10,0,0.69,9,2,22.22,411,352,85.64,49.52,104,20,52,32,82,45,30,7,220,98,44.55,4,1,25.0,18,5,27.78,1,0,0.0,26,2,7.69,4,1,25.0,3,0,0.0,0,0,0,6,3,50.0,3,5,12,3,4,12,87,28,32.18,2,3,10,6,60.0,76,46,60.53,29,14,48.28,4,3,75.0,35,21,14,4,0,146,111,76.03,67,59,88.06,136,128,94.12,37,22,59.46,40,27,67.5,58,38,65.52,1,0,0.0,24,21,87.5,7,19.68,4.52,9.0,18.52,17.61,12.05,0,0
4,4,4,2022-10-18,10,2,1.57,13,3,23.08,424,358,84.43,50.52,103,14,36,53,96,29,48,19,283,153,54.06,4,0,0.0,34,7,20.59,3,2,66.67,30,3,10.0,4,3,75.0,3,0,0.0,0,0,0,15,4,26.67,4,10,26,7,6,22,115,52,45.22,0,1,9,4,44.44,81,59,72.84,34,15,44.12,9,6,66.67,28,17,14,3,0,148,111,75.0,72,67,93.06,156,147,94.23,43,25,58.14,49,35,71.43,87,71,81.61,8,3,37.5,23,19,82.61,4,17.09,3.82,10.14,15.36,21.62,9.5,1,2
5,5,5,2022-10-15,10,0,0.52,8,1,12.5,471,407,86.41,49.08,105,21,45,39,82,41,27,14,204,99,48.53,6,1,16.67,17,2,11.76,1,1,100.0,28,5,17.86,2,1,50.0,2,2,100.0,0,0,0,6,0,0.0,1,4,18,3,4,8,86,35,40.7,1,0,12,6,50.0,58,35,60.34,32,18,56.25,7,2,28.57,40,28,13,2,0,152,110,72.37,81,78,96.3,181,167,92.27,41,21,51.22,46,33,71.74,71,45,63.38,10,4,40.0,15,13,86.67,7,17.46,4.76,8.7,20.52,19.3,15.72,0,1
6,6,6,2022-10-09,10,2,1.52,13,5,38.46,384,312,81.25,55.46,114,25,51,38,99,42,44,13,262,114,43.51,4,2,50.0,23,5,21.74,1,1,100.0,38,5,13.16,5,1,20.0,6,2,33.33,0,0,0,10,1,10.0,2,4,15,2,7,11,110,41,37.27,2,1,6,3,50.0,69,39,56.52,42,18,42.86,4,2,50.0,44,15,13,3,0,156,114,73.08,59,57,96.61,122,106,86.89,53,32,60.38,37,20,54.05,70,41,58.57,2,0,0.0,29,27,93.1,8,16.66,3.1,13.8,18.84,20.46,6.89,1,2
7,7,7,2022-10-01,10,1,0.79,7,3,42.86,330,267,80.91,37.79,83,20,28,35,69,39,21,9,203,100,49.26,3,1,33.33,16,2,12.5,1,0,0.0,26,5,19.23,5,2,40.0,4,1,25.0,0,0,0,8,2,25.0,2,2,12,8,1,14,79,36,45.57,1,2,13,4,30.77,60,39,65.0,24,8,33.33,2,0,0.0,41,12,11,1,0,113,82,72.57,47,46,97.87,106,92,86.79,24,14,58.33,26,17,65.38,57,34,59.65,2,0,0.0,15,14,93.33,10,17.15,3.67,7.27,18.22,18.44,14.85,1,0
8,8,8,2022-09-03,10,0,1.6,19,9,47.37,343,280,81.63,47.06,114,40,39,35,84,47,27,10,236,112,47.46,13,4,30.77,23,8,34.78,4,2,50.0,34,9,26.47,5,4,80.0,5,3,60.0,0,0,0,4,0,0.0,1,9,13,3,3,14,86,35,40.7,1,0,18,5,27.78,69,43,62.32,38,17,44.74,3,3,100.0,64,29,12,1,0,123,85,69.11,52,49,94.23,113,103,91.15,40,19,47.5,32,21,65.63,66,35,53.03,1,0,0.0,18,17,94.44,11,16.75,3.04,11.66,20.26,18.22,10.67,0,1
9,9,9,2022-08-30,4,1,1.08,13,4,30.77,459,387,84.31,51.24,105,25,41,39,91,42,33,16,241,114,47.3,6,3,50.0,33,8,24.24,4,3,75.0,19,2,10.53,4,1,25.0,0,0,0.0,0,0,0,8,2,25.0,2,6,22,6,3,12,94,29,30.85,1,1,9,3,33.33,74,50,67.57,35,18,51.43,4,2,50.0,63,27,11,1,0,146,104,71.23,82,76,92.68,187,177,94.65,47,26,55.32,52,42,80.77,84,59,70.24,3,0,0.0,18,18,100.0,8,17.08,4.21,10.24,20.24,21.46,12.59,1,1
