,Unnamed: 0.1,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,0,2022-11-12,10,0,1.38,13,2,15.38,520,451,86.73,62.35,90,10,40,40,78,23,42,13,255,114,44.71,6,1,16.67,35,10,28.57,0,0,0.0,25,3,12.0,5,1,20.0,6,2,33.33,0,0,0,15,4,26.67,4,10,27,4,9,20,60,20,33.33,1,3,14,8,57.14,93,61,65.59,43,14,32.56,8,3,37.5,30,8,8,0,0,153,120,78.43,87,82,94.25,197,180,91.37,52,35,67.31,53,40,75.47,74,59,79.73,3,1,33.33,15,15,100.0,7,16.84,5.31,10.0,17.86,18.61,6.03,0,-1
1,1,1,2022-11-05,4,0,1.41,11,2,18.18,470,393,83.62,48.73,106,14,28,64,76,28,28,20,182,85,46.7,1,0,0.0,36,5,13.89,2,2,100.0,24,4,16.67,8,2,25.0,1,1,100.0,0,0,0,23,9,39.13,10,8,26,3,13,30,59,22,37.29,0,2,21,8,38.1,59,31,52.54,39,17,43.59,5,2,40.0,41,23,9,0,0,150,114,76.0,83,77,92.77,161,137,85.09,50,28,56.0,64,41,64.06,68,58,85.29,3,2,66.67,21,20,95.24,12,17.88,4.52,10.64,13.85,19.82,15.88,1,-1
2,2,2,2022-10-29,6,0,1.38,8,4,50.0,348,290,83.33,44.08,93,31,24,38,72,39,24,9,211,96,45.5,0,0,0.0,19,2,10.53,1,0,0.0,23,6,26.09,4,3,75.0,1,1,100.0,0,0,0,13,6,46.15,7,3,21,4,8,14,52,20,38.46,5,0,23,6,26.09,75,46,61.33,48,17,35.42,3,3,100.0,52,30,7,1,0,120,92,76.67,59,55,93.22,137,121,88.32,47,31,65.96,42,28,66.67,71,53,74.65,3,1,33.33,19,18,94.74,12,15.76,4.05,13.51,13.0,22.99,14.05,0,0
3,3,3,2022-10-22,6,3,1.55,10,6,60.0,358,312,87.15,50.48,80,10,33,37,79,26,39,14,220,112,50.91,4,2,50.0,31,7,22.58,1,0,0.0,26,3,11.54,3,1,33.33,4,0,0.0,0,0,0,8,2,25.0,3,5,17,4,6,12,76,30,39.47,0,0,9,2,22.22,87,59,67.82,29,11,37.93,11,8,72.73,31,15,15,3,0,121,97,80.17,74,68,91.89,111,103,92.79,36,25,69.44,39,27,69.23,46,37,80.43,3,2,66.67,28,27,96.43,7,16.81,3.69,10.06,17.44,19.13,6.94,1,1
4,4,4,2022-10-19,6,0,0.15,1,0,0.0,391,316,80.82,49.52,106,26,34,46,85,35,38,12,226,81,35.84,0,0,0.0,22,0,0.0,0,0,0.0,20,1,5.0,2,1,50.0,1,0,0.0,0,0,0,8,3,37.5,2,4,13,2,4,9,66,22,33.33,3,1,15,4,26.67,61,31,50.82,34,8,23.53,4,2,50.0,54,23,12,4,0,125,84,67.2,72,64,88.89,139,121,87.05,47,24,51.06,48,24,50.0,48,31,64.58,4,0,0.0,30,28,93.33,12,17.31,3.59,12.02,7.38,20.43,7.18,0,-1
5,5,5,2022-10-15,7,0,0.26,4,0,0.0,353,311,88.1,40.09,76,21,32,23,69,37,25,7,184,88,47.83,1,0,0.0,15,1,6.67,1,1,100.0,18,2,11.11,1,1,100.0,2,1,50.0,0,0,0,6,2,33.33,2,2,8,1,4,4,46,21,45.65,0,2,19,7,36.84,72,46,63.89,36,14,38.89,7,3,42.86,52,30,13,4,0,104,74,71.15,52,49,94.23,157,151,96.18,42,26,61.9,34,24,70.59,53,36,67.92,2,1,50.0,9,9,100.0,7,16.12,4.1,11.9,16.63,20.4,17.27,0,-1
6,6,6,2022-10-09,4,1,0.58,9,2,22.22,337,279,82.79,42.15,97,8,46,43,76,27,36,13,198,80,40.4,5,2,40.0,23,3,13.04,0,0,0.0,30,6,20.0,5,3,60.0,4,0,0.0,0,0,0,21,6,28.57,7,7,27,1,16,15,72,23,31.94,1,2,11,3,27.27,54,31,57.41,44,15,34.09,4,0,0.0,51,12,7,2,0,123,95,77.24,51,49,96.08,121,101,83.47,45,25,55.56,40,26,65.0,61,45,73.77,1,0,0.0,13,13,100.0,9,15.03,3.37,13.35,19.64,22.19,13.93,1,-1
7,7,7,2022-10-01,4,2,1.61,11,5,45.45,352,294,83.52,44.79,101,23,37,41,81,40,28,13,230,109,47.39,6,1,16.67,25,5,20.0,3,2,66.67,27,3,11.11,6,1,16.67,2,1,50.0,0,0,0,17,8,47.06,8,4,18,3,9,10,72,21,29.17,1,1,19,7,36.84,77,52,67.53,39,18,46.15,4,4,100.0,54,25,10,2,0,114,88,77.19,50,47,94.0,127,105,82.68,40,23,57.5,52,34,65.38,59,44,74.58,4,3,75.0,15,13,86.67,11,16.23,3.14,11.36,18.09,20.06,10.81,0,1
8,8,8,2022-09-18,10,1,0.48,7,2,28.57,461,399,86.55,57.03,101,23,26,52,71,38,19,14,173,83,47.98,4,0,0.0,32,4,12.5,3,0,0.0,24,3,12.5,5,0,0.0,4,2,50.0,0,0,0,16,6,37.5,4,5,24,7,11,13,58,25,43.1,1,0,13,4,30.77,48,26,54.17,33,18,54.55,8,5,62.5,48,25,8,3,0,152,118,77.63,72,68,94.44,180,163,90.56,49,32,65.31,53,42,79.25,81,68,83.95,3,1,33.33,20,19,95.0,8,16.34,4.56,10.63,21.74,19.78,10.64,1,1
9,9,9,2022-09-03,10,0,1.21,11,4,36.36,278,213,76.62,39.28,106,27,36,43,69,31,25,13,192,82,42.71,3,2,66.67,19,6,31.58,5,3,60.0,26,2,7.69,7,1,14.29,1,0,0.0,0,0,0,13,2,15.38,3,12,22,5,6,22,77,27,35.06,3,0,18,8,44.44,49,25,51.02,39,19,48.72,7,7,100.0,53,42,7,2,0,98,65,66.33,38,35,92.11,108,90,83.33,32,13,40.63,32,20,62.5,47,29,61.7,4,2,50.0,23,18,78.26,11,16.47,2.55,11.51,17.53,20.8,19.25,1,0
