,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
0,2019-05-12,4-1-4-1,1,1.25,10,3,30.0,361,265,73.41,44.43,149,28,56,65,104,57,31,16,226,93,41.15,7,2,28.57,32,4,12.5,6,3,50.0,17,4,23.53,3,2,66.67,3,1,33.33,0,0,0,10,3,30.0,3,2,14,0,7,8,50,18,36.0,2,1,10,3,30.0,75,39,52.0,62,24,38.71,5,0,0.0,68,33,6,1,0,142,87,61.27,59,52,88.14,83,68,81.93,63,31,49.21,61,31,50.82,72,47,65.28,2,0,0.0,32,30,93.75,5,16.82,3.03,17.45,22.01,20.56,9.73,0,0
1,2019-05-05,4-1-4-1,1,0.71,8,3,37.5,305,226,74.1,36.45,102,16,35,51,76,33,29,14,198,101,51.01,3,0,0.0,23,3,13.04,6,4,66.67,23,0,0.0,3,0,0.0,3,0,0.0,0,0,0,9,2,22.22,3,7,15,3,4,11,57,24,42.11,2,1,22,7,31.82,81,54,66.67,27,11,40.74,5,4,80.0,51,19,10,1,0,115,72,62.61,53,47,88.68,87,69,79.31,49,17,34.69,47,22,46.81,66,42,63.64,5,1,20.0,25,20,80.0,12,16.59,2.9,16.07,22.04,20.09,14.73,1,0
2,2019-04-26,4-1-4-1,0,0.18,4,1,25.0,280,204,72.86,30.86,101,20,50,31,70,31,34,5,154,74,48.05,2,1,50.0,13,2,15.38,3,1,33.33,21,1,4.76,4,0,0.0,0,0,0.0,0,0,0,8,2,25.0,2,4,13,1,4,9,39,14,35.9,4,5,21,7,33.33,60,34,56.67,22,8,36.36,3,2,66.67,57,22,14,0,0,115,67,58.26,49,45,91.84,75,65,86.67,43,16,37.21,35,16,45.71,52,30,57.69,9,3,33.33,22,20,90.91,14,17.08,2.89,15.36,24.46,17.75,14.84,0,1
3,2019-04-20,4-1-4-1,1,1.06,12,3,25.0,361,300,83.1,45.87,78,15,23,40,80,35,37,8,211,106,50.24,6,1,16.67,29,5,17.24,3,2,66.67,18,4,22.22,2,2,100.0,2,0,0.0,0,0,0,13,4,30.77,4,5,16,1,7,12,69,26,37.68,1,2,11,6,54.55,91,57,62.64,27,16,59.26,3,2,66.67,40,13,15,2,0,125,99,79.2,46,41,89.13,136,115,84.56,38,25,65.79,54,44,81.48,78,66,84.62,7,5,71.43,21,17,80.95,6,15.19,3.97,10.53,20.87,19.1,10.13,1,-1
4,2019-04-13,5-4-1,0,0.99,7,1,14.29,280,222,79.29,34.36,96,18,44,34,62,35,18,9,224,95,42.41,2,1,50.0,27,3,11.11,1,1,100.0,16,2,12.5,2,2,100.0,1,0,0.0,0,0,0,20,8,40.0,7,2,18,2,11,9,64,28,43.75,0,4,21,5,23.81,84,41,48.81,41,13,31.71,8,3,37.5,44,16,12,2,0,114,83,72.81,43,37,86.05,74,61,82.43,41,24,58.54,34,23,67.65,70,52,74.29,5,2,40.0,21,18,85.71,8,14.27,2.92,14.64,16.01,20.9,18.0,0,1
5,2019-04-06,4-4-1-1,1,1.81,9,4,44.44,343,274,79.88,44.76,97,14,46,37,66,24,34,8,181,74,40.88,2,0,0.0,26,6,23.08,1,0,0.0,29,2,6.9,8,2,25.0,3,0,0.0,1,1,100,14,4,28.57,4,3,13,1,6,11,55,18,32.73,3,4,16,10,62.5,71,33,46.48,30,13,43.33,5,2,40.0,43,10,12,3,0,127,91,71.65,66,61,92.42,99,81,81.82,48,22,45.83,51,37,72.55,62,44,70.97,5,3,60.0,22,22,100.0,8,16.01,3.54,13.99,16.03,20.92,11.93,1,-1
6,2019-03-30,4-2-3-1,0,0.65,14,5,35.71,427,345,80.8,54.74,98,13,41,44,82,30,39,13,240,129,53.75,3,0,0.0,36,8,22.22,4,3,75.0,30,3,10.0,5,1,20.0,3,2,66.67,0,0,0,12,3,25.0,2,8,23,5,5,14,71,31,43.66,3,2,16,6,37.5,95,69,72.63,46,17,36.96,4,2,50.0,54,16,7,0,0,168,123,73.21,62,58,93.55,138,117,84.78,54,28,51.85,67,48,71.64,91,73,80.22,7,4,57.14,22,20,90.91,13,15.26,3.65,12.65,19.34,20.57,7.68,0,1
7,2019-03-16,4-4-1-1,3,1.49,12,5,41.67,303,234,77.23,37.54,108,29,35,44,79,38,29,12,196,97,49.49,6,2,33.33,19,3,15.79,4,2,50.0,22,7,31.82,8,3,37.5,1,1,100.0,0,0,0,10,2,20.0,1,4,11,0,5,10,55,29,52.73,1,4,14,5,35.71,74,43,58.11,33,11,33.33,10,4,40.0,66,35,14,2,0,117,84,71.79,47,44,93.62,75,61,81.33,34,14,41.18,37,25,67.57,56,35,62.5,2,0,0.0,15,13,86.67,6,15.4,3.37,11.22,19.01,17.99,8.84,0,1
8,2019-03-09,4-2-3-1,0,0.33,8,1,12.5,463,370,79.91,54.7,109,15,26,68,82,32,38,12,244,104,42.62,6,1,16.67,52,6,11.54,2,0,0.0,18,1,5.56,6,0,0.0,3,1,33.33,0,0,0,33,8,24.24,8,10,36,2,20,12,80,36,45.0,1,2,8,4,50.0,66,32,48.48,38,15,39.47,7,4,57.14,50,15,14,3,0,189,139,73.54,40,32,80.0,158,135,85.44,43,21,48.84,72,53,73.61,101,83,82.18,4,1,25.0,34,32,94.12,4,17.11,3.99,9.29,21.73,20.35,6.68,1,-1
9,2019-03-02,4-3-1-2,0,0.37,6,4,66.67,396,328,82.83,49.48,117,29,43,45,102,57,29,16,229,100,43.67,3,2,66.67,25,6,24.0,4,0,0.0,22,0,0.0,3,0,0.0,3,0,0.0,0,0,0,13,8,61.54,5,5,17,0,9,8,50,13,26.0,0,1,12,4,33.33,72,44,61.11,52,18,34.62,8,5,62.5,47,24,6,2,0,155,114,73.55,65,59,90.77,135,122,90.37,43,26,60.47,43,28,65.12,78,54,69.23,6,4,66.67,16,12,75.0,7,15.02,3.47,10.86,20.02,19.65,15.74,0,1
