,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
0,2022-11-12,4-3-3,3,2.07,13,5,38.46,629,544,86.49,54.54,109,20,47,42,82,33,40,9,191,94,49.21,3,0,0.0,20,9,45.0,2,1,50.0,25,3,12.0,6,3,50.0,1,1,100.0,0,0,0,19,5,26.32,5,8,31,5,11,23,64,26,40.63,0,1,10,5,50.0,66,41,62.12,32,17,53.13,2,2,100.0,41,12,8,0,0,202,155,76.73,79,75,94.94,259,239,92.28,54,33,61.11,57,43,75.44,87,66,75.86,7,1,14.29,21,20,95.24,9,19.99,6.69,8.59,13.58,19.16,11.24,1,1
1,2022-11-06,4-3-3,2,1.01,12,6,50.0,581,491,84.51,51.17,124,38,58,28,104,55,38,11,204,92,45.1,7,2,28.57,24,9,37.5,1,1,100.0,21,2,9.52,3,1,33.33,0,0,0.0,0,0,0,11,3,27.27,3,7,19,6,6,23,59,25,42.37,3,1,13,5,38.46,72,38,52.78,36,17,47.22,5,2,40.0,48,20,8,0,0,186,140,75.27,103,101,98.06,201,184,91.54,55,30,54.55,66,49,74.24,95,62,65.26,5,0,0.0,14,13,92.86,10,19.71,5.99,9.47,21.17,19.17,16.09,0,-1
2,2022-10-29,4-3-1-2,1,1.49,19,9,47.37,672,563,83.78,66.0,134,17,40,77,118,41,55,22,223,121,54.26,8,2,25.0,40,14,35.0,3,0,0.0,22,5,22.73,14,4,28.57,0,0,0.0,0,0,0,31,8,25.81,6,19,45,9,12,37,72,33,45.83,0,2,14,6,42.86,66,46,69.7,41,19,46.34,4,3,75.0,57,22,9,0,0,217,159,73.27,90,85,94.44,280,255,91.07,63,34,53.97,89,67,75.28,96,83,86.46,6,4,66.67,21,21,100.0,6,19.14,5.46,9.38,18.13,21.03,4.52,1,-1
3,2022-10-22,4-4-2,0,2.84,15,7,46.67,675,585,86.67,72.97,108,14,32,62,95,28,52,15,187,86,45.99,1,1,100.0,47,9,19.15,2,0,0.0,29,6,20.69,11,3,27.27,4,2,50.0,0,0,0,22,7,31.82,6,12,36,2,14,29,68,27,39.71,0,1,10,7,70.0,46,25,54.35,27,13,48.15,1,1,100.0,28,7,8,1,0,189,143,75.66,88,82,93.18,293,272,92.83,45,27,60.0,107,87,81.31,77,65,84.42,9,3,33.33,30,30,100.0,0,18.56,5.72,6.67,10.99,18.52,6.44,0,1
4,2022-10-19,4-4-2,1,1.63,20,5,25.0,563,488,86.68,54.88,99,18,33,48,90,36,41,13,175,79,45.14,9,2,22.22,34,12,35.29,3,0,0.0,21,8,38.1,8,3,37.5,1,0,0.0,0,0,0,9,3,33.33,4,13,30,5,6,23,49,17,34.69,1,0,8,2,25.0,70,38,54.29,21,12,57.14,3,1,33.33,55,22,9,0,0,169,137,81.07,110,104,94.55,229,206,89.96,47,28,59.57,72,56,77.78,92,66,71.74,11,8,72.73,21,19,90.48,7,17.87,5.47,8.35,19.02,18.81,11.81,1,1
5,2022-10-16,4-4-2,1,1.4,14,2,14.29,380,308,81.05,37.9,105,28,46,31,93,46,37,10,199,81,40.7,7,1,14.29,23,6,26.09,4,4,100.0,18,4,22.22,5,2,40.0,2,4,200.0,0,0,0,12,6,50.0,5,7,20,4,7,20,68,17,25.0,2,0,14,5,35.71,68,42,61.76,40,10,25.0,6,4,66.67,53,24,9,3,0,139,91,65.47,43,41,95.35,152,143,94.08,59,34,57.63,38,24,63.16,86,52,60.47,0,0,0.0,14,13,92.86,7,17.4,3.88,15.53,18.33,21.17,19.12,1,1
6,2022-10-09,4-2-3-1,2,0.7,8,3,37.5,476,399,83.82,57.43,108,28,35,45,76,41,24,11,203,106,52.22,3,0,0.0,19,6,31.58,1,0,0.0,20,2,10.0,3,1,33.33,1,1,100.0,0,0,0,10,0,0.0,0,8,21,6,5,13,65,30,46.15,7,3,11,7,63.64,70,50,71.43,30,13,43.33,1,1,100.0,40,17,10,2,0,154,104,67.53,64,63,98.44,176,159,90.34,56,28,50.0,46,32,69.57,62,39,62.9,12,5,41.67,28,23,82.14,3,15.93,4.62,11.76,18.88,18.84,12.58,0,1
7,2022-10-01,4-3-3,3,1.85,14,7,50.0,517,438,84.72,54.78,122,13,34,75,96,36,38,22,205,95,46.34,4,1,25.0,46,8,17.39,3,1,33.33,22,4,18.18,9,2,22.22,3,1,33.33,0,0,0,18,4,22.22,4,20,39,9,9,34,78,24,30.77,1,3,6,6,100.0,57,38,66.67,27,16,59.26,5,1,20.0,47,13,9,1,0,170,134,78.82,87,82,94.25,178,154,86.52,52,31,59.62,87,65,74.71,85,71,83.53,6,3,50.0,26,26,100.0,1,18.22,4.42,10.06,17.01,19.82,7.35,1,0
8,2022-09-03,4-3-3,0,2.5,18,7,38.89,462,380,82.25,60.72,126,20,38,68,78,30,35,13,192,102,53.13,3,1,33.33,35,11,31.43,3,3,100.0,26,4,15.38,9,5,55.56,3,1,33.33,0,0,0,22,8,36.36,8,10,38,6,16,36,49,24,48.98,2,0,11,4,36.36,77,50,64.94,39,20,51.28,2,0,0.0,44,16,11,2,0,156,112,71.79,51,46,90.2,190,169,88.95,53,27,50.94,62,43,69.35,77,62,80.52,3,1,33.33,34,29,85.29,8,17.7,4.13,11.47,14.04,19.95,6.29,0,0
9,2022-08-31,4-3-3,2,2.29,20,6,30.0,620,531,85.65,69.99,118,12,29,77,106,44,35,27,209,102,48.8,6,1,16.67,47,12,25.53,8,1,12.5,30,7,23.33,13,4,30.77,3,2,66.67,0,0,0,31,13,41.94,13,21,46,3,20,35,76,38,50.0,2,1,4,2,50.0,40,27,67.5,46,17,36.96,3,2,66.67,39,3,9,0,0,193,152,78.76,84,80,95.24,258,232,89.92,66,34,51.52,93,70,75.27,111,93,83.78,3,2,66.67,24,23,95.83,6,16.9,5.25,10.65,17.87,20.89,8.5,1,1
