,Date,Match,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Home,Win
0,2022-11-13,Fulham - Manchester United 1:2,Manchester United,4-3-3,2,2.6,13,9,69.23,423,339,80.14,45.55,117,35,41,41,83,45,32,6,204,96,47.06,4,3,75.0,20,10,50.0,2,1,50.0,20,2,10.0,3,0,0.0,0,0,0.0,0,0,0,13,7,53.85,7,9,26,7,9,19,73,22,30.14,2,1,14,7,50.0,68,43,63.24,32,17,53.13,5,1,20.0,48,29,10,1,0,138,87,63.04,49,44,89.8,155,139,89.68,58,32,55.17,57,28,49.12,69,39,56.52,6,1,16.67,16,14,87.5,7,16.66,4.19,13.71,18.47,18.96,11.35,Fulham,Manchester United,0,1
1,2022-11-06,Aston Villa - Manchester United 3:1,Manchester United,4-2-3-1,1,0.58,8,3,37.5,532,454,85.34,54.5,84,10,25,49,68,16,32,20,176,92,52.27,4,0,0.0,32,5,15.63,1,1,100.0,18,1,5.56,5,0,0.0,2,0,0.0,0,0,0,25,4,16.0,4,10,34,9,14,22,58,24,41.38,3,3,6,4,66.67,67,42,62.69,22,12,54.55,5,2,40.0,33,13,12,3,0,142,110,77.46,88,83,94.32,211,188,89.1,57,37,64.91,66,53,80.3,67,51,76.12,4,1,25.0,22,22,100.0,8,17.37,6.19,10.71,19.74,19.53,7.59,Aston Villa,Manchester United,0,-1
2,2022-10-30,Manchester United - West Ham United 1:0,Manchester United,4-2-3-1,1,1.01,15,3,20.0,466,392,84.12,51.27,102,18,32,52,77,33,28,16,190,95,50.0,6,1,16.67,19,7,36.84,7,3,42.86,24,5,20.83,5,1,20.0,2,0,0.0,0,0,0,18,7,38.89,7,7,28,2,14,21,51,23,45.1,1,0,13,5,38.46,62,38,61.29,42,18,42.86,6,4,66.67,50,36,12,1,0,140,99,70.71,61,58,95.08,169,146,86.39,49,24,48.98,52,32,61.54,55,42,76.36,4,2,50.0,12,12,100.0,8,17.21,4.8,10.52,19.64,18.3,9.97,Manchester United,West Ham United,1,1
3,2022-10-22,Chelsea - Manchester United 1:1,Manchester United,4-2-3-1,1,0.96,13,6,46.15,447,371,83.0,51.66,114,22,46,46,78,36,27,15,183,93,50.82,7,3,42.86,22,7,31.82,4,3,75.0,20,2,10.0,4,0,0.0,2,0,0.0,0,0,0,9,6,66.67,5,6,24,5,6,19,57,23,40.35,3,1,5,2,40.0,60,38,63.33,37,17,45.95,2,2,100.0,39,15,10,4,0,157,107,68.15,77,74,96.1,144,130,90.28,37,21,56.76,45,33,73.33,67,45,67.16,8,2,25.0,25,22,88.0,8,19.08,4.76,8.28,21.16,18.1,13.2,Chelsea,Manchester United,0,0
4,2022-10-19,Manchester United - Tottenham Hotspur 2:0,Manchester United,4-2-3-1,2,1.81,27,10,37.04,563,492,87.39,49.69,103,21,31,51,96,37,33,26,194,88,45.36,15,5,33.33,37,15,40.54,1,0,0.0,21,11,52.38,8,5,62.5,1,0,0.0,0,0,0,10,3,30.0,3,13,29,7,8,26,65,26,40.0,4,0,9,2,22.22,64,38,59.38,23,10,43.48,3,2,66.67,41,12,7,1,0,159,124,77.99,117,114,97.44,183,164,89.62,51,35,68.63,69,55,79.71,87,64,73.56,3,1,33.33,16,13,81.25,6,19.45,6.12,9.06,21.48,19.09,15.04,Manchester United,Tottenham Hotspur,1,1
5,2022-10-16,Manchester United - Newcastle United 0:0,Manchester United,4-2-3-1,0,1.29,14,2,14.29,501,421,84.03,62.32,94,13,38,43,95,34,45,16,206,86,41.75,8,0,0.0,27,10,37.04,4,0,0.0,23,3,13.04,4,0,0.0,1,0,0.0,0,0,0,18,5,27.78,5,10,34,8,10,25,68,21,30.88,2,0,9,2,22.22,57,38,66.67,44,14,31.82,8,1,12.5,36,10,13,3,0,153,117,76.47,80,79,98.75,181,158,87.29,55,31,56.36,58,43,74.14,85,62,72.94,7,3,42.86,14,13,92.86,8,16.95,5.33,10.98,19.65,20.75,7.43,Manchester United,Newcastle United,1,0
6,2022-10-09,Everton - Manchester United 1:2,Manchester United,4-2-3-1,2,1.1,11,3,27.27,582,496,85.22,57.85,98,20,37,41,74,31,40,3,198,111,56.06,7,1,14.29,24,5,20.83,5,3,60.0,23,3,13.04,4,2,50.0,1,0,0.0,0,0,0,10,1,10.0,1,8,25,5,7,11,54,23,42.59,4,1,9,2,22.22,72,49,68.06,44,27,61.36,1,0,0.0,41,18,13,1,0,185,143,77.3,86,81,94.19,217,195,89.86,38,22,57.89,63,45,71.43,68,46,67.65,3,1,33.33,20,19,95.0,13,18.91,6.13,6.53,19.89,18.39,7.53,Everton,Manchester United,0,1
7,2022-10-02,Manchester City - Manchester United 6:3,Manchester United,4-2-3-1,3,1.91,13,8,61.54,452,400,88.5,43.88,73,26,25,22,56,28,18,10,141,54,38.3,7,3,42.86,28,8,28.57,0,0,0.0,12,4,33.33,1,0,0.0,0,0,0.0,1,1,100,4,0,0.0,0,3,16,4,3,13,45,19,42.22,0,6,22,9,40.91,54,23,42.59,18,7,38.89,3,0,0.0,36,11,9,3,0,117,94,80.34,66,59,89.39,190,175,92.11,45,24,53.33,47,31,65.96,49,37,75.51,7,0,0.0,19,17,89.47,8,18.33,5.79,9.96,21.2,18.41,26.4,Manchester City,Manchester United,0,-1
8,2022-09-04,Manchester United - Arsenal 3:1,Manchester United,4-2-3-1,3,1.01,9,6,66.67,294,232,78.91,38.72,98,32,36,30,74,44,21,9,160,77,48.13,3,2,66.67,12,5,41.67,1,1,100.0,22,3,13.64,2,1,50.0,0,0,0.0,0,0,0,6,2,33.33,2,7,13,2,3,12,36,16,44.44,4,1,16,4,25.0,68,36,52.94,17,9,52.94,7,3,42.86,46,18,13,3,0,100,70,70.0,52,46,88.46,78,66,84.62,41,18,43.9,31,16,51.61,58,33,56.9,5,4,80.0,17,15,88.24,11,16.44,3.27,13.95,18.34,18.44,15.89,Manchester United,Arsenal,1,1
9,2022-09-01,Leicester City - Manchester United 0:1,Manchester United,4-2-3-1,1,1.21,10,2,20.0,498,400,80.32,43.88,126,19,52,55,102,46,41,15,181,83,45.86,2,1,50.0,34,9,26.47,2,1,50.0,15,0,0.0,3,0,0.0,0,0,0.0,0,0,0,11,2,18.18,3,9,20,6,4,22,50,18,36.0,2,0,9,2,22.22,55,29,52.73,44,22,50.0,4,2,50.0,40,11,15,3,0,200,142,71.0,80,75,93.75,133,112,84.21,65,38,58.46,62,43,69.35,84,56,66.67,6,3,50.0,24,22,91.67,8,20.28,4.7,13.05,17.3,19.31,20.08,Leicester City,Manchester United,0,1
