,Unnamed: 0.1,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,0,2022-11-12,10,1,0.93,8,2,25.0,435,364,83.68,47.66,117,12,38,67,86,25,46,15,223,117,52.47,3,1,33.33,29,6,20.69,0,0,0.0,21,2,9.52,5,1,20.0,2,0,0.0,0,0,0,18,6,33.33,4,8,27,5,10,19,78,25,32.05,3,0,3,2,66.67,72,54,75.0,41,24,58.54,4,3,75.0,41,16,14,4,0,166,124,74.7,81,75,92.59,132,120,90.91,42,24,57.14,61,40,65.57,69,59,85.51,10,2,20.0,23,22,95.65,7,17.8,4.39,9.66,16.68,19.87,9.58,1,1
1,1,1,2022-11-06,10,4,0.92,7,4,57.14,375,278,74.13,45.31,117,25,44,48,95,55,29,11,224,88,39.29,3,2,66.67,24,4,16.67,2,1,50.0,18,2,11.11,2,0,0.0,1,0,0.0,0,0,0,12,3,25.0,2,7,20,4,5,16,69,20,28.99,1,1,15,5,33.33,76,38,50.0,34,14,41.18,3,1,33.33,64,6,10,0,0,143,94,65.73,48,42,87.5,113,91,80.53,44,22,50.0,56,29,51.79,59,35,59.32,10,4,40.0,17,16,94.12,7,16.95,3.91,11.73,15.58,19.0,9.14,0,1
2,2,2,2022-10-29,10,4,3.15,18,7,38.89,508,414,81.5,56.45,107,6,50,51,96,34,50,12,179,105,58.66,6,2,33.33,43,11,25.58,1,1,100.0,18,5,27.78,3,3,100.0,2,0,0.0,1,1,100,17,7,41.18,7,16,30,6,8,30,68,34,50.0,3,0,3,0,0.0,71,49,69.01,23,14,60.87,5,3,60.0,38,8,11,1,0,178,125,70.22,79,76,96.2,162,138,85.19,58,31,53.45,70,51,72.86,94,65,69.15,4,3,75.0,25,24,96.0,1,18.09,4.62,11.42,17.87,18.3,8.66,1,1
3,3,3,2022-10-23,10,2,1.14,12,5,41.67,393,332,84.48,48.19,112,29,38,45,87,39,34,14,197,92,46.7,4,2,50.0,29,7,24.14,1,0,0.0,27,5,18.52,7,2,28.57,3,1,33.33,0,0,0,18,2,11.11,3,10,20,5,7,26,60,26,43.33,3,1,16,5,31.25,57,30,52.63,41,18,43.9,7,0,0.0,63,18,6,2,0,131,100,76.34,69,66,95.65,133,117,87.97,63,38,60.32,42,26,61.9,56,39,69.64,3,3,100.0,20,16,80.0,9,16.65,3.67,16.03,18.29,19.58,9.16,0,1
4,4,4,2022-10-19,10,1,1.98,15,4,26.67,395,322,81.52,50.48,98,18,38,42,89,38,37,14,226,131,57.96,5,1,20.0,33,10,30.3,0,0,0.0,24,5,20.83,8,3,37.5,3,0,0.0,0,0,0,20,8,40.0,5,11,21,5,6,32,61,30,49.18,0,0,1,0,0.0,66,44,66.67,34,26,76.47,1,1,100.0,31,10,9,2,0,131,102,77.86,47,42,89.36,147,130,88.44,36,18,50.0,45,32,71.11,65,45,69.23,6,5,83.33,21,19,90.48,2,17.16,3.62,9.11,15.29,20.56,13.13,1,1
5,5,5,2022-10-16,10,0,1.57,9,2,22.22,277,214,77.26,37.68,104,30,34,40,81,35,37,9,206,109,52.91,3,1,33.33,21,4,19.05,0,0,0.0,27,4,14.81,4,3,75.0,5,3,60.0,0,0,0,9,4,44.44,5,7,13,0,4,13,57,19,33.33,0,0,14,2,14.29,68,47,69.12,44,26,59.09,1,0,0.0,53,20,11,1,0,113,79,69.91,44,38,86.36,71,60,84.51,39,23,58.97,35,16,45.71,50,35,70.0,4,1,25.0,14,12,85.71,11,15.5,2.98,14.08,13.94,18.46,9.09,0,0
6,6,6,2022-10-08,10,5,2.75,16,6,37.5,367,305,83.11,54.38,86,21,26,39,80,41,23,16,202,85,42.08,6,2,33.33,32,9,28.13,3,1,33.33,25,6,24.0,9,5,55.56,1,1,100.0,0,0,0,18,6,33.33,6,8,31,7,11,28,59,20,33.9,1,1,6,3,50.0,53,30,56.6,40,14,35.0,4,2,50.0,46,17,14,0,0,131,95,72.52,52,51,98.08,112,102,91.07,37,21,56.76,46,30,65.22,58,40,68.97,8,1,12.5,17,16,94.12,5,16.26,3.63,10.08,18.57,19.71,8.75,1,1
7,7,7,2022-10-01,10,4,4.41,19,10,52.63,613,531,86.62,67.18,76,11,33,32,88,33,41,14,135,69,51.11,4,0,0.0,38,15,39.47,1,1,100.0,23,3,13.04,8,1,12.5,2,2,100.0,0,0,0,26,7,26.92,8,19,37,9,7,47,39,18,46.15,7,1,3,1,33.33,47,29,61.7,10,7,70.0,1,0,0.0,40,12,10,0,0,198,156,78.79,81,75,92.59,225,203,90.22,46,28,60.87,55,37,67.27,85,68,80.0,10,4,40.0,13,13,100.0,2,18.43,6.32,7.5,12.99,17.91,7.21,0,1
8,8,8,2022-09-17,10,1,2.0,19,7,36.84,638,549,86.05,66.63,112,13,28,71,82,25,29,28,214,101,47.2,7,1,14.29,54,10,18.52,0,0,0.0,24,7,29.17,8,5,62.5,5,0,0.0,1,1,100,33,11,33.33,9,19,51,2,20,30,62,20,32.26,3,1,10,3,30.0,66,38,57.58,37,15,40.54,3,2,66.67,39,3,10,2,0,166,130,78.31,92,85,92.39,292,265,90.75,36,22,61.11,75,64,85.33,112,93,83.04,4,3,75.0,27,25,92.59,6,19.9,5.85,5.64,18.69,20.82,4.73,1,0
9,9,9,2022-09-03,10,0,3.05,18,5,27.78,372,301,80.91,52.94,111,16,19,76,88,27,40,21,236,105,44.49,4,1,25.0,41,7,17.07,2,2,100.0,31,8,25.81,13,6,46.15,10,3,30.0,0,0,0,21,7,33.33,6,12,36,4,13,36,69,26,37.68,2,0,19,10,52.63,86,51,59.3,38,14,36.84,7,1,14.29,51,12,19,2,0,138,100,72.46,49,46,93.88,136,117,86.03,51,31,60.78,60,39,65.0,68,57,83.82,5,2,40.0,17,14,82.35,5,16.15,3.18,13.71,14.41,20.31,5.5,1,0
10,10,10,2022-08-31,8,1,0.73,4,2,50.0,236,168,71.19,30.01,114,46,18,50,67,42,17,8,209,93,44.5,3,1,33.33,17,2,11.76,3,1,33.33,17,0,0.0,0,0,0.0,4,0,0.0,0,0,0,5,1,20.0,1,2,10,0,3,3,40,13,32.5,2,2,20,8,40.0,76,38,50.0,46,23,50.0,0,0,0.0,74,48,10,2,0,105,67,63.81,37,34,91.89,50,37,74.0,44,22,50.0,48,24,50.0,52,35,67.31,3,0,0.0,10,9,90.0,9,15.0,2.31,18.64,18.59,22.46,29.43,0,-1
11,11,11,2022-08-28,10,1,1.41,16,2,12.5,450,380,84.44,62.01,105,15,23,67,89,36,25,28,182,87,47.8,9,1,11.11,31,11,35.48,1,1,100.0,30,3,10.0,13,2,15.38,9,0,0.0,0,0,0,24,6,25.0,4,13,38,6,10,25,72,34,47.22,1,1,9,4,44.44,49,29,59.18,28,10,35.71,3,2,66.67,33,7,10,1,0,148,119,80.41,66,60,90.91,167,144,86.23,43,22,51.16,49,31,63.27,71,56,78.87,1,0,0.0,12,10,83.33,4,15.83,4.25,9.56,18.59,19.75,9.6,0,0
