,Unnamed: 0.1,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,0,2022-05-22,1,0,0.66,8,0,0.0,373,306,82.04,44.13,84,15,32,37,66,28,26,12,128,64,50.0,4,0,0.0,20,6,30.0,3,1,33.33,16,1,6.25,3,0,0.0,1,1,100.0,0,0,0,11,6,54.55,5,5,18,4,6,13,35,17,48.57,0,5,17,13,76.47,51,27,52.94,23,9,39.13,7,3,42.86,32,10,13,3,0,111,66,59.46,54,53,98.15,151,139,92.05,51,25,49.02,39,22,56.41,57,39,68.42,2,1,50.0,17,15,88.24,4,16.12,4.39,13.67,17.59,21.4,14.66,1,-1
1,1,1,2022-05-15,5,1,0.86,11,2,18.18,313,250,79.87,37.78,94,30,36,28,73,43,24,6,173,96,55.49,2,0,0.0,14,5,35.71,3,3,100.0,21,3,14.29,3,2,66.67,1,1,100.0,0,0,0,5,0,0.0,1,2,13,7,2,11,45,27,60.0,0,1,16,4,25.0,84,47,55.95,27,14,51.85,3,2,66.67,48,30,10,3,0,105,66,62.86,55,51,92.73,103,89,86.41,41,18,43.9,29,11,37.93,46,26,56.52,1,1,100.0,18,15,83.33,15,16.03,3.19,13.1,14.48,18.6,23.5,0,0
2,2,2,2022-05-11,4,0,1.14,8,4,50.0,319,266,83.39,34.67,106,39,33,34,71,48,17,6,176,80,45.45,4,1,25.0,15,5,33.33,2,2,100.0,21,1,4.76,2,1,50.0,0,0,0.0,0,0,0,6,1,16.67,1,3,11,1,2,14,74,27,36.49,0,3,20,8,40.0,69,41,59.42,20,6,30.0,1,0,0.0,51,28,5,0,0,121,96,79.34,45,39,86.67,95,83,87.37,34,19,55.88,33,25,75.76,62,44,70.97,4,0,0.0,18,17,94.44,10,17.14,3.22,10.66,19.47,19.22,58.29,0,-1
3,3,3,2022-05-08,6,0,0.76,8,2,25.0,362,306,84.53,36.9,84,16,20,48,65,30,24,11,151,83,54.97,5,0,0.0,25,5,20.0,0,0,0.0,23,2,8.7,9,1,11.11,3,1,33.33,0,0,0,12,3,25.0,3,5,27,8,7,13,44,19,43.18,2,4,12,5,41.67,60,37,61.67,25,13,52.0,4,1,25.0,37,22,7,1,0,120,95,79.17,64,58,90.63,125,111,88.8,33,19,57.58,42,32,76.19,72,53,73.61,5,4,80.0,8,6,75.0,5,17.22,4.26,9.12,23.3,19.52,32.71,1,-1
4,4,4,2022-04-30,6,0,0.66,8,3,37.5,451,379,84.04,58.7,115,26,45,44,68,29,28,11,205,100,48.78,5,2,40.0,30,5,16.67,0,0,0.0,27,3,11.11,3,1,33.33,4,1,25.0,0,0,0,6,2,33.33,2,5,15,4,3,13,100,37,37.0,0,2,21,6,28.57,71,45,63.38,19,10,52.63,2,2,100.0,46,11,8,1,0,125,85,68.0,61,56,91.8,180,162,90.0,53,24,45.28,34,17,50.0,53,30,56.6,1,0,0.0,32,30,93.75,8,15.91,3.96,11.75,21.27,18.15,11.57,0,-1
5,5,5,2022-04-23,6,0,0.61,5,2,40.0,411,319,77.62,47.12,107,12,43,52,75,28,37,10,198,103,52.02,1,1,100.0,34,2,5.88,1,1,100.0,18,1,5.56,2,0,0.0,2,0,0.0,0,0,0,14,4,28.57,4,8,26,0,10,10,72,32,44.44,1,3,11,7,63.64,68,45,66.18,31,14,45.16,3,2,66.67,30,11,11,0,0,143,96,67.13,68,59,86.76,147,128,87.07,53,23,43.4,60,44,73.33,74,46,62.16,5,2,40.0,26,25,96.15,7,16.45,4.03,12.9,17.99,20.11,13.58,1,-1
6,6,6,2022-04-16,6,2,1.55,12,4,33.33,354,279,78.81,41.0,95,26,26,43,67,44,15,8,155,71,45.81,6,1,16.67,27,8,29.63,0,0,0.0,22,3,13.64,7,3,42.86,3,0,0.0,0,0,0,20,5,25.0,4,9,24,4,9,20,53,23,43.4,0,3,19,9,47.37,70,32,45.71,15,9,60.0,4,3,75.0,38,22,6,0,0,118,82,69.49,51,47,92.16,103,86,83.5,43,25,58.14,48,29,60.42,66,47,71.21,0,0,0.0,12,11,91.67,6,15.79,3.89,12.15,19.54,19.62,23.0,0,-1
7,7,7,2022-04-10,6,2,1.42,16,6,37.5,317,231,72.87,47.17,143,39,46,58,115,63,37,15,252,116,46.03,8,2,25.0,24,6,25.0,8,4,50.0,26,6,23.08,6,2,33.33,2,2,100.0,0,0,0,13,3,23.08,2,7,22,3,6,19,68,22,32.35,3,0,17,3,17.65,63,40,63.49,68,32,47.06,2,1,50.0,70,43,12,1,0,144,88,61.11,44,42,95.45,82,63,76.83,45,24,53.33,41,20,48.78,62,39,62.9,10,5,50.0,17,14,82.35,11,15.05,2.71,14.2,20.05,18.67,10.45,1,1
8,8,8,2022-04-02,10,0,0.33,5,0,0.0,267,192,71.91,40.09,123,38,60,25,77,51,19,7,171,80,46.78,2,0,0.0,13,3,23.08,2,1,50.0,26,1,3.85,2,0,0.0,3,0,0.0,0,0,0,10,3,30.0,2,4,15,3,4,12,39,16,41.03,1,0,28,5,17.86,64,28,43.75,40,23,57.5,2,1,50.0,73,22,11,1,0,110,65,59.09,36,35,97.22,87,67,77.01,34,16,47.06,28,12,42.86,52,19,36.54,2,1,50.0,23,18,78.26,15,15.22,2.45,12.73,19.06,20.13,9.68,0,0
9,9,9,2022-03-13,10,1,1.14,12,4,33.33,326,266,81.6,51.54,103,21,34,48,95,47,30,18,259,107,41.31,7,1,14.29,28,9,32.14,5,0,0.0,34,2,5.88,2,1,50.0,4,1,25.0,0,0,0,5,2,40.0,2,14,19,1,4,14,116,45,38.79,3,2,14,7,50.0,64,37,57.81,33,16,48.48,5,1,20.0,45,12,8,1,0,113,76,67.26,55,48,87.27,117,107,91.45,51,32,62.75,46,30,65.22,56,45,80.36,7,3,42.86,27,24,88.89,12,13.9,2.63,15.64,19.01,19.92,10.71,0,-1
10,10,10,2022-03-10,7,1,1.12,9,3,33.33,330,274,83.03,35.12,87,9,37,41,60,32,19,9,150,68,45.33,6,1,16.67,15,3,20.0,2,1,50.0,25,4,16.0,3,1,33.33,1,1,100.0,1,1,100,10,4,40.0,3,4,15,4,5,10,65,30,46.15,2,3,15,7,46.67,56,30,53.57,8,3,37.5,8,5,62.5,48,11,8,0,0,125,93,74.4,48,47,97.92,94,83,88.3,42,27,64.29,35,23,65.71,47,33,70.21,5,2,40.0,15,13,86.67,6,16.63,3.71,12.73,19.82,17.42,16.96,1,-1
11,11,11,2022-03-05,6,1,2.04,15,7,46.67,432,349,80.79,58.68,116,19,41,56,80,28,34,18,185,82,44.32,7,3,42.86,33,8,24.24,1,0,0.0,29,7,24.14,5,1,20.0,6,1,16.67,0,0,0,16,6,37.5,8,9,25,3,11,15,52,24,46.15,1,3,11,6,54.55,57,31,54.39,36,16,44.44,5,4,80.0,36,9,13,2,0,131,86,65.65,70,69,98.57,154,132,85.71,61,34,55.74,52,33,63.46,79,48,60.76,3,2,66.67,31,28,90.32,4,16.99,4.04,14.12,18.28,19.83,8.45,1,-1
12,12,12,2022-02-25,4,0,0.48,7,0,0.0,324,253,78.09,42.81,121,41,43,37,79,41,24,14,214,104,48.6,4,0,0.0,20,3,15.0,0,0,0.0,32,4,12.5,6,1,16.67,1,0,0.0,0,0,0,14,3,21.43,4,5,16,2,7,9,61,17,27.87,1,2,21,9,42.86,73,48,65.75,57,29,50.88,2,0,0.0,49,36,9,2,0,117,84,71.79,51,47,92.16,102,88,86.27,41,24,58.54,35,22,62.86,65,37,56.92,2,0,0.0,21,17,80.95,14,15.21,3.21,12.65,20.35,18.65,11.05,0,-1
13,13,13,2022-02-19,4,1,0.38,5,1,20.0,287,220,76.66,30.96,123,47,50,26,82,53,24,5,188,88,46.81,3,1,33.33,12,3,25.0,1,0,0.0,23,2,8.7,4,1,25.0,1,1,100.0,0,0,0,9,2,22.22,2,6,17,3,5,14,45,19,42.22,5,3,28,9,32.14,91,47,51.65,31,12,38.71,4,0,0.0,60,41,8,1,0,115,74,64.35,37,33,89.19,73,62,84.93,43,26,60.47,23,16,69.57,63,36,57.14,7,3,42.86,11,7,63.64,13,15.9,3.05,14.98,17.59,18.26,24.25,0,-1
14,14,14,2022-02-12,4,0,0.59,8,3,37.5,230,179,77.83,28.78,94,30,28,36,66,39,16,11,152,89,58.55,1,0,0.0,17,5,29.41,1,0,0.0,23,3,13.04,4,2,50.0,1,1,100.0,0,0,0,5,1,20.0,1,7,15,6,2,15,39,22,56.41,2,4,18,9,50.0,64,47,73.44,26,12,46.15,3,1,33.33,54,28,7,0,0,89,56,62.92,34,31,91.18,70,64,91.43,36,17,47.22,23,6,26.09,39,19,48.72,4,1,25.0,13,10,76.92,9,14.68,2.45,15.65,14.43,20.6,20.3,1,-1
15,15,15,2022-02-09,3,1,0.22,3,1,33.33,227,162,71.37,30.41,131,38,52,41,95,55,36,4,235,96,40.85,1,0,0.0,15,1,6.67,1,1,100.0,29,1,3.45,4,1,25.0,1,0,0.0,0,0,0,6,2,33.33,2,2,7,1,4,4,63,20,31.75,1,1,12,5,41.67,96,52,54.17,36,10,27.78,6,1,16.67,54,31,11,1,0,92,53,57.61,38,35,92.11,65,55,84.62,48,25,52.08,36,15,41.67,56,33,58.93,0,0,0.0,25,22,88.0,8,14.66,2.1,21.15,17.89,22.36,14.73,1,0
16,16,16,2022-01-21,3,3,1.41,6,2,33.33,221,159,71.95,31.81,111,22,43,46,90,47,33,10,264,124,46.97,3,0,0.0,18,3,16.67,1,0,0.0,22,2,9.09,1,1,100.0,3,0,0.0,0,0,0,6,2,33.33,2,5,9,2,3,13,74,32,43.24,1,0,15,4,26.67,91,49,53.85,44,21,47.73,2,0,0.0,51,18,11,1,0,100,60,60.0,34,34,100.0,58,45,77.59,40,16,40.0,38,15,39.47,45,30,66.67,2,0,0.0,28,21,75.0,8,15.78,2.17,18.1,14.24,20.08,13.3,0,1
17,17,17,2022-01-15,3,2,0.54,10,3,30.0,254,187,73.62,43.06,89,19,32,38,75,44,26,5,266,138,51.88,6,2,33.33,26,3,11.54,3,2,66.67,28,5,17.86,8,3,37.5,4,2,50.0,0,0,0,16,3,18.75,3,5,15,3,6,13,95,40,42.11,3,1,14,6,42.86,91,57,62.64,46,28,60.87,7,4,57.14,49,30,12,3,0,113,77,68.14,45,41,91.11,59,48,81.36,42,24,57.14,36,22,61.11,54,40,74.07,1,1,100.0,25,20,80.0,4,13.44,2.33,16.54,22.95,24.13,12.04,1,1
18,18,18,2022-01-12,3,0,0.32,6,3,50.0,316,252,79.75,39.27,87,24,36,27,69,32,34,3,210,94,44.76,5,3,60.0,14,2,14.29,2,1,50.0,21,3,14.29,2,0,0.0,1,0,0.0,0,0,0,15,5,33.33,5,5,21,4,9,14,62,29,46.77,3,2,13,5,38.46,69,36,52.17,38,17,44.74,3,0,0.0,43,15,8,0,0,112,75,66.96,54,53,98.15,105,90,85.71,51,27,52.94,39,25,64.1,68,46,67.65,2,1,50.0,12,9,75.0,9,15.96,3.59,16.14,24.33,21.48,19.88,0,-1
19,19,19,2021-12-28,6,0,0.96,10,3,30.0,358,291,81.28,50.23,102,21,38,43,82,32,31,19,199,93,46.73,5,1,20.0,30,7,23.33,1,0,0.0,21,3,14.29,8,1,12.5,2,1,50.0,0,0,0,11,4,36.36,3,5,13,2,3,16,56,18,32.14,3,3,16,6,37.5,74,45,60.81,36,15,41.67,3,1,33.33,45,27,13,2,0,140,98,70.0,56,53,94.64,119,108,90.76,63,33,52.38,57,39,68.42,80,57,71.25,0,0,0.0,21,19,90.48,5,16.51,3.2,17.6,18.22,21.31,11.96,0,-1
20,20,20,2021-12-26,2,0,0.07,3,1,33.33,288,228,79.17,38.18,92,19,43,30,75,40,27,8,198,88,44.44,1,0,0.0,16,2,12.5,2,0,0.0,18,1,5.56,3,0,0.0,1,1,100.0,0,0,0,7,1,14.29,1,2,13,2,5,6,50,21,42.0,3,5,16,6,37.5,73,41,56.16,34,8,23.53,4,3,75.0,44,18,13,1,0,112,75,66.96,60,59,98.33,82,71,86.59,51,31,60.78,32,17,53.13,56,37,66.07,2,0,0.0,23,19,82.61,7,15.51,2.94,17.71,21.36,21.51,15.76,1,-1
21,21,21,2021-12-14,4,0,0.48,6,3,50.0,445,370,83.15,53.11,96,31,26,39,70,42,20,8,204,96,47.06,0,0,0.0,23,1,4.35,0,0,0.0,20,5,25.0,7,2,28.57,3,3,100.0,0,0,0,13,3,23.08,2,5,17,0,7,14,48,22,45.83,0,2,15,7,46.67,84,45,53.57,35,14,40.0,7,2,28.57,53,27,12,3,0,137,93,67.88,62,55,88.71,190,180,94.74,55,31,56.36,54,36,66.67,66,45,68.18,8,4,50.0,23,21,91.3,3,16.37,4.73,12.36,13.32,21.38,10.09,1,-1
22,22,22,2021-12-11,4,0,0.96,9,3,33.33,418,335,80.14,49.34,131,25,45,61,86,37,39,10,213,103,48.36,4,1,25.0,21,4,19.05,1,0,0.0,33,5,15.15,8,0,0.0,4,2,50.0,0,0,0,15,4,26.67,4,13,23,0,11,17,84,42,50.0,1,1,13,4,30.77,64,37,57.81,40,13,32.5,3,1,33.33,56,17,6,1,0,139,95,68.35,62,60,96.77,139,120,86.33,50,30,60.0,53,31,58.49,77,50,64.94,4,2,50.0,28,26,92.86,7,16.64,3.63,11.96,16.23,19.41,12.95,1,-1
