,Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Score
0,2022-11-12,Nottingham Forest - Crystal Palace 1:0,England. Premier League,99,Nottingham Forest,4-3-3 (72.45%),1,1.5,10,2,20.0,267,212,79.4,33.46,84,20,39,25,71,38,26,7,213,114,53.52,2,0,0.0,14,4,28.57,2,1,50.0,20,4,20.0,1,0,0.0,4,1,25.0,0,0,0,13,3,23.08,5,8,21,1,8,14,56,22,39.29,2,0,6,0,0.0,97,66,68.04,37,16,43.24,8,4,50.0,44,33,11,1,0,98,71,72.45,38,36,94.74,91,79,86.81,43,25,58.14,25,16,64.0,39,27,69.23,7,2,28.57,21,19,90.48,7,15.63,2.81,16.1,15.61,20.73,16.73,Nottingham Forest,Crystal Palace,1:0
1,2022-11-05,Nottingham Forest - Brentford 2:2,England. Premier League,103,Nottingham Forest,4-3-3 (81.23%),2,1.84,14,7,50.0,393,309,78.63,47.34,106,16,33,57,96,36,37,23,212,109,51.42,5,2,40.0,37,9,24.32,2,1,50.0,22,4,18.18,3,1,33.33,2,1,50.0,0,0,0,18,5,27.78,5,13,30,4,12,18,66,30,45.45,0,2,5,2,40.0,58,35,60.34,52,29,55.77,10,6,60.0,30,14,10,2,0,146,97,66.44,58,55,94.83,145,123,84.83,55,29,52.73,52,31,59.62,80,56,70.0,3,0,0.0,32,29,90.63,6,16.31,3.64,13.99,16.45,22.97,13.6,Nottingham Forest,Brentford,2:2
2,2022-10-30,Arsenal - Nottingham Forest 5:0,England. Premier League,95,Nottingham Forest,4-3-3 (68.84%),0,0.76,5,2,40.0,250,196,78.4,30.34,86,29,21,36,58,41,8,9,197,92,46.7,3,2,66.67,14,2,14.29,4,1,25.0,21,2,9.52,4,1,25.0,2,0,0.0,0,0,0,6,0,0.0,1,1,9,1,3,6,63,20,31.75,2,5,19,10,52.63,75,45,60.0,32,17,53.13,7,4,57.14,48,25,8,1,0,95,62,65.26,47,43,91.49,78,65,83.33,34,18,52.94,36,19,52.78,43,25,58.14,8,4,50.0,14,13,92.86,11,16.58,2.87,13.6,20.99,21.42,26.77,Arsenal,Nottingham Forest,5:0
3,2022-10-22,Nottingham Forest - Liverpool 1:0,England. Premier League,97,Nottingham Forest,4-5-1 (66.66%),1,2.32,10,7,70.0,221,153,69.23,27.03,94,24,47,23,88,51,29,8,187,97,51.87,4,3,75.0,11,2,18.18,8,7,87.5,20,3,15.0,2,0,0.0,1,2,200.0,0,0,0,5,1,20.0,1,6,13,3,5,10,46,21,45.65,3,0,15,7,46.67,68,41,60.29,27,14,51.85,5,3,60.0,72,35,15,2,0,106,60,56.6,23,19,82.61,49,37,75.51,36,14,38.89,25,14,56.0,47,22,46.81,3,1,33.33,13,7,53.85,11,16.41,2.33,16.29,15.51,18.95,13.61,Nottingham Forest,Liverpool,1:0
4,2022-10-18,Brighton - Nottingham Forest 0:0,England. Premier League,96,Nottingham Forest,4-3-3 (90.45%),0,0.24,2,0,0.0,245,188,76.73,30.2,97,28,34,35,68,36,22,10,166,74,44.58,0,0,0.0,10,2,20.0,1,0,0.0,22,0,0.0,1,1,100.0,1,0,0.0,0,0,0,6,1,16.67,1,3,8,1,4,5,41,14,34.15,0,0,18,7,38.89,55,33,60.0,34,18,52.94,4,2,50.0,57,20,14,1,0,105,67,63.81,40,38,95.0,66,56,84.85,42,24,57.14,32,17,53.13,47,27,57.45,0,0,0.0,20,16,80.0,13,16.33,2.88,17.14,10.56,18.58,12.67,Brighton,Nottingham Forest,0:0
5,2022-10-15,Wolverhampton Wanderers - Nottingham Forest 1:0,England. Premier League,101,Nottingham Forest,4-1-4-1 (88.38%),0,1.5,11,2,18.18,269,211,78.44,40.77,96,21,27,48,80,32,34,14,198,97,48.99,5,1,20.0,22,5,22.73,1,1,100.0,29,3,10.34,5,1,20.0,5,1,20.0,1,0,0,14,4,28.57,3,4,15,2,6,13,60,26,43.33,0,1,9,4,44.44,59,31,52.54,40,26,65.0,3,0,0.0,35,19,14,2,0,103,69,66.99,37,33,89.19,95,84,88.42,38,20,52.63,43,25,58.14,52,38,73.08,1,0,0.0,18,16,88.89,8,15.21,2.74,14.13,18.12,21.69,12.43,Wolverhampton Wanderers,Nottingham Forest,1:0
6,2022-10-10,Nottingham Forest - Aston Villa 1:1,England. Premier League,95,Nottingham Forest,4-3-3 (100.0%),1,0.42,6,3,50.0,303,231,76.24,39.59,107,26,39,42,76,49,20,7,230,118,51.3,4,1,25.0,22,3,13.64,0,0,0.0,30,3,10.0,1,0,0.0,3,1,33.33,0,0,0,9,3,33.33,1,0,11,2,5,5,85,30,35.29,0,1,10,2,20.0,69,46,66.67,40,25,62.5,5,3,60.0,57,4,13,3,0,117,81,69.23,42,36,85.71,97,83,85.57,46,21,45.65,43,31,72.09,58,30,51.72,1,0,0.0,23,17,73.91,7,16.49,3.0,15.18,17.85,20.93,14.64,Nottingham Forest,Aston Villa,1:1
7,2022-10-03,Leicester City - Nottingham Forest 4:0,England. Premier League,95,Nottingham Forest,4-2-3-1 (73.38%),0,1.03,8,3,37.5,439,364,82.92,48.8,108,25,51,32,79,37,35,7,184,77,41.85,2,1,50.0,27,7,25.93,0,0,0.0,30,1,3.33,6,1,16.67,4,0,0.0,0,0,0,6,3,50.0,4,5,15,4,5,9,63,20,31.75,4,4,16,7,43.75,50,27,54.0,33,13,39.39,5,3,60.0,46,9,12,4,0,156,102,65.38,70,65,92.86,143,136,95.1,43,20,46.51,38,24,63.16,79,49,62.03,9,6,66.67,18,17,94.44,8,18.52,4.48,9.79,15.64,19.35,15.32,Leicester City,Nottingham Forest,4:0
8,2022-09-16,Nottingham Forest - Fulham 2:3,England. Premier League,98,Nottingham Forest,3-4-1-2 (65.8%),2,0.84,9,3,33.33,356,286,80.34,41.71,103,19,44,40,89,43,41,5,195,103,52.82,4,1,25.0,20,6,30.0,0,0,0.0,19,2,10.53,2,2,100.0,1,0,0.0,0,0,0,14,5,35.71,7,0,15,0,12,7,48,23,47.92,2,3,15,7,46.67,63,39,61.9,40,20,50.0,6,1,16.67,43,20,11,2,0,140,95,67.86,59,56,94.92,121,104,85.95,43,25,58.14,41,25,60.98,65,41,63.08,6,2,33.33,17,15,88.24,6,16.56,3.91,12.08,19.83,21.14,13.04,Nottingham Forest,Fulham,2:3
9,2022-09-03,Nottingham Forest - Bournemouth 2:3,England. Premier League,100,Nottingham Forest,3-4-3 (100.0%),2,2.17,11,3,27.27,465,381,81.94,55.49,94,11,32,51,85,35,27,23,193,81,41.97,3,1,33.33,29,5,17.24,2,0,0.0,21,5,23.81,4,3,75.0,1,1,100.0,1,1,100,27,10,37.04,11,8,34,4,20,20,53,17,32.08,1,3,9,3,33.33,61,34,55.74,32,13,40.63,2,0,0.0,45,17,13,2,0,167,119,71.26,73,68,93.15,167,147,88.02,56,22,39.29,61,46,75.41,83,60,72.29,2,2,100.0,20,20,100.0,6,16.07,4.6,12.04,15.16,20.27,9.9,Nottingham Forest,Bournemouth,2:3
