,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,2022-11-12,3-5-2,1,1.33,10,5,50.0,423,357,84.4,45.46,93,24,34,35,89,41,38,10,191,88,46.07,0,0,0.0,28,8,28.57,0,0,0.0,14,2,14.29,0,0,0.0,2,2,100.0,0,0,0,15,6,40.0,7,9,27,3,10,19,66,25,37.88,2,3,13,6,46.15,64,38,59.38,32,13,40.63,6,1,16.67,57,20,8,2,0,142,107,75.35,72,70,97.22,137,121,88.32,52,27,51.92,59,45,76.27,73,58,79.45,6,4,66.67,15,10,66.67,10,16.13,4.92,12.29,12.18,18.9,15.38,0,-1
1,1,2022-11-06,4-4-2,1,1.15,15,5,33.33,464,367,79.09,54.69,122,20,42,60,101,44,38,19,224,117,52.23,7,3,42.86,44,5,11.36,2,1,50.0,23,8,34.78,8,3,37.5,3,0,0.0,0,0,0,24,7,29.17,6,6,23,7,7,22,76,38,50.0,4,4,7,4,57.14,69,49,71.01,34,16,47.06,5,3,60.0,45,19,7,1,0,182,129,70.88,84,78,92.86,129,110,85.27,61,30,49.18,63,42,66.67,93,67,72.04,8,5,62.5,19,16,84.21,4,17.37,4.18,13.15,19.34,21.04,8.2,1,-1
2,2,2022-10-29,4-4-2,0,0.95,13,4,30.77,473,398,84.14,53.5,119,21,45,53,105,42,45,18,233,101,43.35,4,0,0.0,31,9,29.03,2,1,50.0,27,3,11.11,4,2,50.0,4,1,25.0,0,0,0,19,7,36.84,7,9,24,5,9,25,78,26,33.33,3,1,12,3,25.0,75,39,52.0,52,25,48.08,0,0,0.0,54,15,12,3,0,162,124,76.54,79,73,92.41,156,139,89.1,45,26,57.78,63,43,68.25,80,60,75.0,1,1,100.0,20,17,85.0,7,17.84,4.83,9.51,19.25,18.51,7.93,0,-1
3,3,2022-10-23,4-4-2,1,0.57,8,3,37.5,347,283,81.56,43.61,93,18,38,37,81,41,27,13,214,103,48.13,4,1,25.0,26,6,23.08,2,0,0.0,26,2,7.69,9,0,0.0,0,0,0.0,0,0,0,11,3,27.27,2,5,19,1,6,14,67,28,41.79,4,1,11,3,27.27,73,49,67.12,41,10,24.39,2,2,100.0,29,7,10,2,0,119,80,67.23,60,59,98.33,118,105,88.98,32,20,62.5,23,18,78.26,59,32,54.24,6,2,33.33,17,13,76.47,7,15.17,3.51,9.22,20.56,19.5,18.5,1,0
4,4,2022-10-19,4-4-2,1,0.95,8,3,37.5,447,363,81.21,46.2,121,35,50,36,80,46,27,7,192,99,51.56,2,0,0.0,20,6,30.0,3,2,66.67,25,0,0.0,3,0,0.0,1,0,0.0,0,0,0,14,3,21.43,3,5,18,5,7,12,66,24,36.36,0,0,17,4,23.53,73,49,67.12,29,12,41.38,1,0,0.0,59,24,13,3,0,138,97,70.29,72,71,98.61,132,115,87.12,46,26,56.52,36,19,52.78,63,35,55.56,4,4,100.0,19,14,73.68,12,18.08,4.38,10.29,14.32,16.83,14.09,0,1
5,5,2022-10-16,4-1-4-1,1,0.83,9,7,77.78,295,231,78.31,40.93,132,40,44,48,79,40,30,9,194,101,52.06,5,4,80.0,29,8,27.59,3,1,33.33,16,0,0.0,4,0,0.0,0,0,0.0,0,0,0,11,4,36.36,4,4,20,3,8,10,49,14,28.57,1,1,21,3,14.29,56,41,73.21,61,31,50.82,4,3,75.0,67,27,7,1,0,105,60,57.14,43,43,100.0,95,83,87.37,43,28,65.12,34,20,58.82,64,45,70.31,1,0,0.0,18,14,77.78,13,14.89,3.28,14.58,21.42,20.04,11.08,1,0
6,6,2022-10-08,4-4-2,0,0.16,5,0,0.0,378,319,84.39,37.81,95,16,53,26,80,30,42,8,230,105,45.65,5,0,0.0,19,3,15.79,0,0,0.0,16,2,12.5,1,1,100.0,0,0,0.0,0,0,0,8,3,37.5,3,0,9,1,5,2,58,17,29.31,1,4,19,7,36.84,78,49,62.82,38,16,42.11,6,3,50.0,46,19,8,1,0,136,98,72.06,89,86,96.63,99,90,90.91,56,29,51.79,35,18,51.43,54,38,70.37,1,1,100.0,10,10,100.0,12,15.44,4.73,14.81,26.07,19.92,15.31,0,-1
7,7,2022-10-01,4-4-2,1,3.06,19,6,31.58,435,364,83.68,55.21,102,16,32,54,73,29,33,11,230,112,48.7,6,1,16.67,39,11,28.21,2,1,50.0,24,6,25.0,7,2,28.57,3,1,33.33,0,0,0,22,11,50.0,12,11,33,7,14,34,77,25,32.47,0,2,11,5,45.45,72,51,70.83,39,18,46.15,6,1,16.67,38,17,11,2,0,135,97,71.85,67,66,98.51,154,137,88.96,43,22,51.16,50,32,64.0,74,53,71.62,2,0,0.0,30,28,93.33,7,16.28,3.51,9.89,15.98,19.51,8.55,1,-1
8,8,2022-09-16,4-2-3-1,0,0.47,6,0,0.0,356,283,79.49,51.98,135,30,51,54,92,44,37,11,265,120,45.28,4,0,0.0,20,3,15.0,0,0,0.0,24,3,12.5,3,2,66.67,5,2,40.0,0,0,0,9,0,0.0,1,3,13,1,7,10,88,28,31.82,0,1,14,4,28.57,84,56,66.67,59,23,38.98,0,0,0.0,53,23,13,1,0,118,73,61.86,55,51,92.73,132,115,87.12,47,24,51.06,44,19,43.18,48,29,60.42,0,0,0.0,26,21,80.77,7,15.16,2.85,13.2,20.3,20.13,8.76,0,-1
9,9,2022-09-03,4-2-3-1,0,1.73,10,1,10.0,407,331,81.33,50.91,102,22,25,55,95,40,36,19,221,112,50.68,4,1,25.0,30,6,20.0,0,0,0.0,23,3,13.04,6,1,16.67,5,0,0.0,0,0,0,28,9,32.14,8,11,28,6,10,32,70,28,40.0,0,1,6,2,33.33,87,62,71.26,41,16,39.02,7,2,28.57,42,9,13,2,0,144,106,73.61,67,64,95.52,127,109,85.83,49,31,63.27,56,40,71.43,75,53,70.67,2,2,100.0,15,12,80.0,7,16.22,4.07,12.04,15.02,18.59,7.83,0,-1
