,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,2022-11-12,12,4,1.76,14,7,50.0,510,422,82.75,54.78,118,17,45,56,83,28,38,17,184,87,47.28,4,2,50.0,38,12,31.58,1,0,0.0,21,2,9.52,9,2,22.22,0,0,0.0,0,0,0,27,6,22.22,6,7,30,8,13,24,77,23,29.87,0,3,11,5,45.45,51,37,72.55,35,17,48.57,2,0,0.0,32,12,8,1,0,142,97,68.31,68,64,94.12,228,205,89.91,53,27,50.94,62,46,74.19,75,52,69.33,4,1,25.0,28,25,89.29,5,17.66,5.05,10.39,15.09,22.01,10.86,1,1
1,1,2022-11-06,7,1,1.51,13,4,30.77,518,434,83.78,48.83,126,19,35,72,105,31,45,29,204,101,49.51,3,0,0.0,38,5,13.16,0,0,0.0,21,8,38.1,5,2,40.0,2,2,100.0,0,0,0,25,12,48.0,11,10,39,2,18,27,72,34,47.22,1,2,12,6,50.0,59,34,57.63,36,18,50.0,0,0,0.0,52,10,9,0,0,141,100,70.92,72,67,93.06,223,201,90.13,56,31,55.36,70,52,74.29,94,71,75.53,2,0,0.0,20,19,95.0,5,18.41,5.34,10.81,16.19,19.49,10.46,1,-1
2,2,2022-10-29,5,3,1.58,18,6,33.33,638,561,87.93,66.78,102,12,23,67,92,25,41,26,216,110,50.93,7,1,14.29,43,12,27.91,3,0,0.0,35,5,14.29,19,4,21.05,4,0,0.0,0,0,0,41,11,26.83,10,11,42,4,20,34,82,41,50.0,2,2,5,4,80.0,52,38,73.08,47,16,34.04,4,4,100.0,27,10,6,2,0,169,142,84.02,94,93,98.94,282,256,90.78,29,18,62.07,77,63,81.82,76,70,92.11,9,6,66.67,13,13,100.0,6,18.34,5.85,4.55,17.54,18.28,8.0,0,1
3,3,2022-10-23,5,1,1.92,16,5,31.25,445,356,80.0,51.81,102,23,35,44,86,31,43,12,197,95,48.22,7,1,14.29,28,12,42.86,4,3,75.0,20,1,5.0,6,2,33.33,1,0,0.0,0,0,0,17,6,35.29,6,7,20,2,10,16,57,27,47.37,3,2,12,5,41.67,60,34,56.67,41,20,48.78,7,3,42.86,39,17,12,4,0,147,93,63.27,63,61,96.83,157,140,89.17,57,27,47.37,50,30,60.0,74,42,56.76,10,1,10.0,27,26,96.3,7,17.53,4.01,12.81,17.36,19.83,7.97,1,-1
4,4,2022-10-19,7,0,0.84,9,2,22.22,516,446,86.43,50.31,106,34,29,43,78,34,30,14,194,97,50.0,2,0,0.0,21,3,14.29,1,1,100.0,24,5,20.83,3,1,33.33,0,0,0.0,0,0,0,16,4,25.0,5,8,24,4,9,14,64,26,40.63,0,2,27,10,37.04,65,39,60.0,23,12,52.17,5,3,60.0,52,12,7,0,0,145,116,80.0,81,76,93.83,205,185,90.24,43,32,74.42,51,35,68.63,73,55,75.34,7,4,57.14,17,16,94.12,11,17.61,6.0,8.33,16.09,18.03,11.32,0,-1
5,5,2022-10-15,12,2,2.56,19,7,36.84,556,498,89.57,59.91,87,8,27,52,78,25,37,16,184,87,47.28,6,0,0.0,33,12,36.36,1,1,100.0,26,4,15.38,7,0,0.0,4,1,25.0,1,1,100,21,9,42.86,9,11,38,3,18,20,72,26,36.11,0,0,4,1,25.0,46,25,54.35,36,19,52.78,1,1,100.0,26,4,12,1,0,154,126,81.82,91,88,96.7,227,211,92.95,42,25,59.52,60,48,80.0,67,57,85.07,7,1,14.29,21,18,85.71,6,17.0,5.67,7.55,17.8,19.61,9.35,1,1
6,6,2022-10-08,5,1,0.86,9,3,33.33,480,402,83.75,42.65,104,20,47,37,92,43,41,8,176,74,42.05,4,2,50.0,20,3,15.0,7,2,28.57,20,3,15.0,2,1,50.0,2,1,50.0,0,0,0,9,3,33.33,4,3,16,3,5,11,62,17,27.42,3,0,13,4,30.77,59,34,57.63,27,13,48.15,3,0,0.0,47,8,14,2,0,148,105,70.95,75,71,94.67,182,162,89.01,55,27,49.09,56,34,60.71,88,56,63.64,5,2,40.0,14,14,100.0,7,19.34,5.11,11.46,19.31,19.88,12.65,0,1
7,7,2022-10-01,1,1,1.39,7,3,42.86,281,227,80.78,36.04,91,33,28,30,70,49,11,10,197,99,50.25,3,0,0.0,16,2,12.5,4,1,25.0,22,3,13.64,2,1,50.0,2,1,50.0,1,1,100,10,4,40.0,4,2,13,2,5,11,54,20,37.04,3,3,19,9,47.37,89,56,62.92,26,9,34.62,1,1,100.0,42,29,10,1,1,104,73,70.19,27,26,96.3,103,95,92.23,46,26,56.52,27,13,48.15,56,32,57.14,0,0,0.0,17,13,76.47,12,15.77,2.87,16.37,16.8,20.01,16.12,0,-1
8,8,2022-09-17,11,6,1.51,17,11,64.71,433,369,85.22,43.4,97,21,49,27,79,44,26,9,163,88,53.99,8,4,50.0,26,7,26.92,5,4,80.0,23,6,26.09,6,3,50.0,1,1,100.0,0,0,0,8,2,25.0,2,5,17,6,4,17,59,25,42.37,1,2,18,7,38.89,46,33,71.74,30,18,60.0,4,4,100.0,41,8,8,1,0,149,115,77.18,69,63,91.3,163,152,93.25,51,37,72.55,32,27,84.38,77,48,62.34,3,2,66.67,19,19,100.0,8,18.47,4.25,11.78,17.6,20.61,20.75,1,1
9,9,2022-09-03,12,2,3.54,21,10,47.62,465,411,88.39,50.36,75,22,24,29,78,37,23,18,221,103,46.61,5,3,60.0,31,10,32.26,1,1,100.0,23,9,39.13,10,5,50.0,1,1,100.0,0,0,0,20,10,50.0,8,19,32,4,10,32,75,22,29.33,3,1,5,3,60.0,69,47,68.12,36,18,50.0,5,2,40.0,41,22,9,3,0,136,110,80.88,69,67,97.1,198,183,92.42,39,30,76.92,45,38,84.44,78,57,73.08,12,4,33.33,19,18,94.74,7,18.45,4.84,8.39,14.66,19.84,11.26,1,1
