,Unnamed: 0,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,0,2022-05-22,4,1,0.86,8,3,37.5,261,212,81.23,29.52,89,28,35,26,73,46,19,8,205,89,43.41,5,0,0.0,19,3,15.79,3,3,100.0,14,1,7.14,3,0,0.0,2,1,50.0,0,0,0,10,4,40.0,5,4,14,1,7,10,65,24,36.92,2,2,19,8,42.11,80,49,61.25,26,5,19.23,8,4,50.0,56,17,9,0,0,112,85,75.89,35,31,88.57,72,62,86.11,29,14,48.28,30,21,70.0,53,36,67.92,1,0,0.0,12,9,75.0,8,16.24,3.3,11.11,21.57,19.02,14.8,0,0
1,1,1,2022-05-15,10,1,1.58,11,5,45.45,343,273,79.59,41.48,106,9,48,49,73,28,25,20,157,68,43.31,1,1,100.0,30,5,16.67,0,0,0.0,22,6,27.27,7,4,57.14,4,1,25.0,0,0,0,22,7,31.82,4,6,28,8,9,26,73,22,30.14,2,5,14,7,50.0,35,23,65.71,36,14,38.89,3,3,100.0,50,16,4,0,0,120,84,70.0,54,51,94.44,112,93,83.04,45,27,60.0,43,26,60.47,62,46,74.19,5,3,60.0,19,18,94.74,11,15.78,3.3,13.12,13.7,20.41,14.52,1,0
2,2,2,2022-05-11,4,0,0.42,5,0,0.0,444,394,88.74,47.19,112,27,42,43,88,48,34,6,244,109,44.67,2,0,0.0,20,0,0.0,2,0,0.0,17,4,23.53,1,0,0.0,7,4,57.14,0,0,0,4,2,50.0,1,4,11,1,3,6,83,26,31.33,1,0,16,6,37.5,61,42,68.85,60,25,41.67,3,1,33.33,60,24,5,1,0,147,116,78.91,62,59,95.16,171,163,95.32,47,33,70.21,51,41,80.39,71,53,74.65,3,1,33.33,12,11,91.67,4,17.12,4.44,10.59,18.76,18.8,16.05,1,1
3,3,3,2022-05-07,4,0,0.25,5,1,20.0,230,172,74.78,32.32,88,21,40,27,66,44,17,5,201,102,50.75,3,1,33.33,16,3,18.75,0,0,0.0,23,2,8.7,5,1,20.0,3,1,33.33,0,0,0,10,3,30.0,4,0,9,2,7,6,45,23,51.11,0,1,16,7,43.75,83,45,54.22,30,15,50.0,3,1,33.33,40,24,18,2,1,97,62,63.92,38,35,92.11,62,49,79.03,42,25,59.52,23,13,56.52,55,30,54.55,2,1,50.0,16,15,93.75,8,15.63,2.23,18.26,19.66,21.0,16.3,0,0
4,4,4,2022-04-30,3,1,1.36,13,1,7.69,318,231,72.64,48.87,137,23,45,69,111,54,38,19,265,132,49.81,5,0,0.0,34,7,20.59,7,1,14.29,21,4,19.05,5,1,20.0,5,2,40.0,0,0,0,20,5,25.0,7,9,28,8,12,25,69,38,55.07,1,2,15,5,33.33,67,43,64.18,81,33,40.74,2,2,100.0,45,31,13,1,0,129,84,65.12,53,51,96.23,79,59,74.68,51,21,41.18,47,25,53.19,66,42,63.64,3,3,100.0,28,26,92.86,8,15.7,2.77,16.04,16.93,21.38,9.74,1,0
5,5,5,2022-04-23,10,1,0.34,5,2,40.0,223,176,78.92,28.22,84,31,28,25,66,39,21,6,164,68,41.46,1,1,100.0,11,3,27.27,3,0,0.0,18,2,11.11,4,2,50.0,3,1,33.33,0,0,0,3,0,0.0,0,1,6,2,1,6,68,27,39.71,2,5,15,8,53.33,54,28,51.85,12,6,50.0,5,2,40.0,55,27,7,0,0,95,69,72.63,45,40,88.89,54,48,88.89,37,20,54.05,35,24,68.57,49,31,63.27,5,3,60.0,13,12,92.31,6,14.73,2.42,16.59,16.97,20.91,19.72,0,0
6,6,6,2022-04-16,10,1,1.81,15,4,26.67,378,306,80.95,50.62,119,16,45,58,95,47,25,23,211,107,50.71,6,2,33.33,38,10,26.32,0,0,0.0,18,3,16.67,6,1,16.67,4,2,50.0,0,0,0,18,8,44.44,7,9,26,3,11,19,65,27,41.54,0,2,16,5,31.25,63,36,57.14,55,31,56.36,3,2,66.67,55,29,11,2,0,155,108,69.68,61,57,93.44,96,87,90.63,54,25,46.3,41,27,65.85,80,62,77.5,7,4,57.14,23,22,95.65,5,16.21,3.12,14.29,19.26,20.1,8.27,1,0
7,7,7,2022-04-09,4,0,0.18,6,0,0.0,344,259,75.29,49.09,163,25,61,77,104,38,54,12,310,132,42.58,4,0,0.0,35,3,8.57,0,0,0.0,23,2,8.7,3,0,0.0,5,1,20.0,0,0,0,9,4,44.44,3,1,13,2,6,8,143,47,32.87,3,3,9,5,55.56,70,49,70.0,58,23,39.66,2,2,100.0,74,16,8,2,0,138,97,70.29,44,39,88.64,88,68,77.27,54,35,64.81,48,26,54.17,70,48,68.57,6,2,33.33,40,37,92.5,10,16.2,2.63,15.7,23.11,17.69,6.51,1,0
8,8,8,2022-04-02,4,0,0.45,5,2,40.0,243,182,74.9,31.93,105,28,48,29,81,44,35,2,228,94,41.23,1,0,0.0,17,3,17.65,1,0,0.0,25,2,8.0,3,1,33.33,3,0,0.0,0,0,0,6,2,33.33,2,3,10,1,3,7,60,17,28.33,3,2,17,3,17.65,70,41,58.57,44,15,34.09,3,2,66.67,70,28,8,1,0,105,65,61.9,39,36,92.31,63,55,87.3,43,24,55.81,28,15,53.57,50,31,62.0,3,2,66.67,15,13,86.67,15,14.54,2.36,17.7,15.48,19.27,17.15,0,0
9,9,9,2022-03-13,10,2,1.32,10,5,50.0,286,222,77.62,40.86,117,19,49,49,91,46,33,12,258,116,44.96,3,0,0.0,20,3,15.0,8,6,75.0,17,1,5.88,3,0,0.0,0,0,0.0,0,0,0,11,5,45.45,4,5,19,6,7,19,67,16,23.88,0,1,12,6,50.0,68,39,57.35,65,36,55.38,5,1,20.0,74,44,11,2,0,126,86,68.25,47,44,93.62,71,61,85.92,56,32,57.14,54,37,68.52,67,52,77.61,6,6,100.0,16,12,75.0,7,13.8,2.67,19.58,17.94,23.22,8.59,0,2
