,Date,Match,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Home,Win
0,2021-05-23,Leeds United - West Bromwich Albion 3:1,West Bromwich Albion,5-4-1,1,1.41,13,5,38.46,250,200,80.0,37.83,97,19,33,45,63,32,17,14,217,97,44.7,6,3,50.0,34,11,32.35,0,0,0.0,25,2,8.0,3,1,33.33,4,2,50.0,0,0,0,12,7,58.33,5,7,17,3,6,21,88,36,40.91,2,3,18,9,50.0,61,33,54.1,31,12,38.71,3,1,33.33,52,17,12,1,0,98,72,73.47,34,33,97.06,83,69,83.13,28,18,64.29,28,19,67.86,47,34,72.34,2,0,0.0,16,16,100.0,12,14.54,2.27,11.2,17.45,19.53,13.08,Leeds United,West Bromwich Albion,0,-1
1,2021-05-19,West Bromwich Albion - West Ham United 1:3,West Bromwich Albion,4-4-1-1,1,1.22,14,3,21.43,321,259,80.69,53.08,108,24,20,64,84,32,28,24,251,113,45.02,8,0,0.0,36,11,30.56,3,0,0.0,25,1,4.0,6,1,16.67,3,2,66.67,0,0,0,22,8,36.36,8,6,26,1,17,13,77,34,44.16,2,3,19,10,52.63,46,29,63.04,65,29,44.62,3,1,33.33,42,35,8,2,0,116,89,76.72,57,54,94.74,103,88,85.44,34,23,67.65,52,36,69.23,64,53,82.81,7,3,42.86,18,15,83.33,9,14.66,2.92,10.59,20.53,20.31,7.08,West Bromwich Albion,West Ham United,1,-1
2,2021-05-16,West Bromwich Albion - Liverpool 1:2,West Bromwich Albion,4-4-2,1,0.69,9,3,33.33,168,116,69.05,28.75,92,25,21,46,51,35,11,5,197,107,54.31,3,1,33.33,11,0,0.0,1,1,100.0,35,6,17.14,9,4,44.44,4,1,25.0,0,0,0,11,2,18.18,3,0,9,3,6,12,49,26,53.06,3,2,26,6,23.08,67,44,65.67,46,21,45.65,5,4,80.0,67,33,6,0,0,80,46,57.5,22,22,100.0,41,31,75.61,37,20,54.05,33,18,54.55,44,29,65.91,4,1,25.0,10,8,80.0,14,11.83,1.68,22.02,17.13,24.64,30.9,West Bromwich Albion,Liverpool,1,-1
3,2021-05-09,Arsenal - West Bromwich Albion 3:1,West Bromwich Albion,4-1-4-1,1,0.83,12,1,8.33,271,206,76.01,37.47,98,21,20,57,68,31,20,17,172,90,52.33,7,1,14.29,21,5,23.81,2,2,100.0,17,4,23.53,6,3,50.0,2,1,50.0,0,0,0,23,8,34.78,7,2,25,3,16,11,46,24,52.17,2,3,15,7,46.67,48,34,70.83,26,14,53.85,5,4,80.0,34,19,9,2,0,94,57,60.64,36,35,97.22,103,88,85.44,44,22,50.0,44,24,54.55,48,37,77.08,1,0,0.0,21,18,85.71,6,14.01,2.85,16.24,20.77,23.02,18.43,Arsenal,West Bromwich Albion,0,-1
4,2021-05-03,West Bromwich Albion - Wolverhampton Wanderers 1:1,West Bromwich Albion,3-5-2,1,1.23,9,4,44.44,319,245,76.8,42.26,122,18,43,61,83,33,45,5,254,100,39.37,4,0,0.0,19,4,21.05,0,0,0.0,26,5,19.23,5,1,20.0,1,1,100.0,0,0,0,20,6,30.0,7,7,22,6,11,19,80,23,28.75,1,1,20,10,50.0,97,53,54.64,36,12,33.33,2,1,50.0,58,18,17,2,0,140,97,69.29,49,48,97.96,90,71,78.89,61,31,50.82,57,33,57.89,75,58,77.33,0,0,0.0,20,15,75.0,7,16.04,2.82,19.12,16.62,21.99,7.89,West Bromwich Albion,Wolverhampton Wanderers,1,0
5,2021-04-25,Aston Villa - West Bromwich Albion 2:2,West Bromwich Albion,4-1-4-1,2,1.31,10,4,40.0,202,141,69.8,34.6,87,26,22,39,76,41,24,11,246,110,44.72,6,2,33.33,20,5,25.0,0,0,0.0,24,2,8.33,4,0,0.0,6,1,16.67,1,1,100,7,2,28.57,2,6,17,2,4,10,70,29,41.43,1,2,22,11,50.0,80,51,63.75,43,14,32.56,5,0,0.0,46,28,9,2,0,93,54,58.06,28,26,92.86,51,39,76.47,38,20,52.63,34,13,38.24,45,30,66.67,7,3,42.86,13,11,84.62,11,12.76,2.04,18.81,19.02,20.66,14.06,Aston Villa,West Bromwich Albion,0,0
6,2021-04-22,Leicester City - West Bromwich Albion 3:0,West Bromwich Albion,4-1-4-1,0,0.38,4,2,50.0,236,170,72.03,28.08,103,22,30,51,70,35,24,11,169,79,46.75,2,1,50.0,22,2,9.09,1,1,100.0,25,1,4.0,3,1,33.33,4,0,0.0,0,0,0,5,2,40.0,2,4,6,0,3,9,50,18,36.0,0,3,18,7,38.89,61,36,59.02,33,16,48.48,1,0,0.0,54,13,11,2,0,110,63,57.27,39,34,87.18,58,53,91.38,41,22,53.66,47,25,53.19,51,30,58.82,1,0,0.0,24,21,87.5,8,17.19,2.41,17.37,14.36,20.13,16.48,Leicester City,West Bromwich Albion,0,-1
7,2021-04-12,West Bromwich Albion - Southampton 3:0,West Bromwich Albion,4-2-3-1,3,2.52,14,6,42.86,258,190,73.64,38.84,110,27,35,48,89,42,30,17,232,111,47.84,2,0,0.0,27,7,25.93,5,2,40.0,27,3,11.11,5,1,20.0,1,0,0.0,1,1,100,15,8,53.33,7,12,24,2,9,27,76,38,50.0,4,0,13,5,38.46,76,35,46.05,37,18,48.65,8,5,62.5,39,31,12,0,0,107,73,68.22,29,22,75.86,71,54,76.06,34,20,58.82,38,26,68.42,64,47,73.44,9,5,55.56,16,14,87.5,11,15.75,2.53,13.18,14.19,20.3,8.44,West Bromwich Albion,Southampton,1,1
8,2021-04-03,Chelsea - West Bromwich Albion 2:5,West Bromwich Albion,5-4-1,5,1.52,14,7,50.0,274,224,81.75,38.72,93,26,30,37,71,38,25,8,224,99,44.2,7,2,28.57,27,10,37.04,2,1,50.0,22,1,4.55,3,1,33.33,2,0,0.0,0,0,0,7,1,14.29,1,7,14,3,5,11,78,23,29.49,4,2,17,9,52.94,72,47,65.28,29,12,41.38,2,0,0.0,47,18,6,1,0,97,64,65.98,35,31,88.57,97,90,92.78,45,27,60.0,38,26,68.42,60,39,65.0,4,2,50.0,27,22,81.48,7,14.68,2.54,16.42,18.52,19.19,21.12,Chelsea,West Bromwich Albion,0,1
9,2021-03-13,Crystal Palace - West Bromwich Albion 1:0,West Bromwich Albion,4-1-4-1,0,0.95,12,1,8.33,375,310,82.67,55.23,102,12,29,61,81,32,34,15,280,152,54.29,5,0,0.0,40,4,10.0,2,2,100.0,20,5,25.0,2,1,50.0,8,3,37.5,0,0,0,20,9,45.0,7,6,29,1,14,18,83,38,45.78,1,1,5,4,80.0,80,60,75.0,66,33,50.0,2,2,100.0,32,21,15,1,0,139,109,78.42,54,47,87.04,122,109,89.34,48,28,58.33,71,50,70.42,75,65,86.67,4,4,100.0,31,27,87.1,1,16.9,3.32,12.8,18.6,20.41,9.86,Crystal Palace,West Bromwich Albion,0,-1
10,2021-03-07,West Bromwich Albion - Newcastle United 0:0,West Bromwich Albion,4-1-4-1,0,1.88,13,2,15.38,371,294,79.25,56.12,126,18,36,72,99,34,39,26,257,138,53.7,5,0,0.0,45,9,20.0,3,0,0.0,25,4,16.0,9,3,33.33,2,0,0.0,0,0,0,34,11,32.35,8,12,39,4,21,29,81,33,40.74,1,0,8,5,62.5,68,43,63.24,72,45,62.5,3,2,66.67,50,23,11,0,0,132,90,68.18,43,42,97.67,124,101,81.45,60,37,61.67,49,30,61.22,60,51,85.0,3,1,33.33,26,23,88.46,5,14.38,3.02,16.17,16.38,21.61,9.85,West Bromwich Albion,Newcastle United,1,0
