,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
0,2022-11-12,4-2-3-1,0,1.67,18,6,33.33,465,372,80.0,50.62,112,13,49,50,80,22,48,10,183,101,55.19,7,2,28.57,45,13,28.89,0,0,0.0,18,5,27.78,7,2,28.57,2,1,50.0,0,0,0,18,7,38.89,8,4,32,5,14,24,64,32,50.0,2,2,8,6,75.0,50,29,58.0,36,20,55.56,5,3,60.0,42,9,9,3,0,159,104,65.41,62,61,98.39,173,148,85.55,48,25,52.08,52,35,67.31,76,50,65.79,11,1,9.09,28,28,100.0,3,19.85,4.27,10.32,16.48,18.84,8.3,1,-1
1,2022-11-06,4-2-3-1,1,0.29,5,2,40.0,408,333,81.62,43.34,96,14,39,43,68,34,29,5,187,88,47.06,2,1,50.0,15,3,20.0,2,0,0.0,16,2,12.5,2,1,50.0,2,1,50.0,0,0,0,10,3,30.0,3,1,15,3,7,6,54,13,24.07,5,2,15,7,46.67,78,50,64.1,21,8,38.1,5,1,20.0,36,9,10,1,0,154,110,71.43,65,58,89.23,135,120,88.89,48,21,43.75,48,29,60.42,70,48,68.57,0,0,0.0,12,11,91.67,7,17.93,4.43,11.76,18.09,20.42,16.04,1,-1
2,2022-10-30,4-2-3-1,0,1.02,13,5,38.46,397,340,85.64,48.73,100,21,34,45,75,33,30,12,190,76,40.0,9,3,33.33,30,10,33.33,4,1,25.0,27,2,7.41,10,1,10.0,3,0,0.0,0,0,0,19,8,42.11,7,5,22,4,11,15,62,24,38.71,2,1,15,3,20.0,51,28,54.9,42,13,30.95,4,3,75.0,52,21,10,3,0,121,94,77.69,66,63,95.45,131,112,85.5,41,25,60.98,33,23,69.7,57,43,75.44,2,2,100.0,19,16,84.21,6,15.43,3.71,10.33,21.13,18.59,11.65,0,1
3,2022-10-24,4-2-3-1,2,2.36,18,4,22.22,488,423,86.68,55.56,101,8,42,51,94,36,39,19,219,107,48.86,9,1,11.11,38,12,31.58,0,0,0.0,19,4,21.05,5,3,60.0,5,0,0.0,1,1,100,21,5,23.81,5,8,27,1,11,21,77,28,36.36,1,0,5,3,60.0,67,48,71.64,40,19,47.5,6,4,66.67,29,4,8,0,0,153,122,79.74,77,75,97.4,199,176,88.44,51,30,58.82,50,42,84.0,72,58,80.56,2,0,0.0,25,23,92.0,5,17.18,4.52,10.45,20.24,19.67,10.46,1,1
4,2022-10-19,4-4-2,0,1.47,8,2,25.0,499,414,82.97,45.12,118,26,48,44,82,40,28,14,175,86,49.14,1,0,0.0,25,3,12.0,4,1,25.0,20,3,15.0,3,3,100.0,2,0,0.0,1,0,0,12,4,33.33,4,4,16,3,6,11,70,32,45.71,0,1,20,5,25.0,49,32,65.31,21,8,38.1,6,3,50.0,60,10,8,0,0,158,103,65.19,77,72,93.51,206,189,91.75,47,25,53.19,52,35,67.31,71,41,57.75,4,0,0.0,21,20,95.24,9,19.26,5.25,9.42,13.99,20.06,13.13,0,1
5,2022-10-16,3-4-3,1,1.99,21,3,14.29,456,371,81.36,59.07,123,23,39,61,97,35,37,25,194,88,45.36,10,2,20.0,40,17,42.5,0,0,0.0,25,4,16.0,14,3,21.43,2,0,0.0,0,0,0,25,5,20.0,5,8,32,3,13,22,56,15,26.79,0,1,9,7,77.78,49,35,71.43,61,30,49.18,1,1,100.0,37,26,3,1,0,159,121,76.1,52,49,94.23,181,161,88.95,41,31,75.61,66,56,84.85,81,62,76.54,4,1,25.0,20,17,85.0,3,15.95,3.83,8.99,19.81,19.28,9.6,0,0
6,2022-10-09,4-2-3-1,3,3.74,17,8,47.06,470,399,84.89,46.99,104,18,42,44,87,50,27,10,167,83,49.7,4,1,25.0,36,13,36.11,1,1,100.0,19,2,10.53,4,1,25.0,0,0,0.0,1,1,100,12,2,16.67,3,12,29,7,8,26,55,19,34.55,1,1,7,2,28.57,55,34,61.82,30,15,50.0,2,1,50.0,45,10,9,1,0,163,126,77.3,73,71,97.26,155,137,88.39,45,28,62.22,60,46,76.67,78,50,64.1,4,3,75.0,16,15,93.75,6,19.32,4.48,9.57,14.57,18.67,15.14,1,1
7,2022-10-01,4-2-3-1,2,1.19,16,5,31.25,341,291,85.34,41.81,95,26,35,34,73,43,24,6,198,107,54.04,7,2,28.57,27,13,48.15,1,0,0.0,23,2,8.7,1,0,0.0,2,0,0.0,0,0,0,7,3,42.86,3,6,24,7,6,16,55,26,47.27,1,0,15,4,26.67,73,44,60.27,37,21,56.76,10,7,70.0,48,23,8,2,0,127,103,81.1,52,48,92.31,127,108,85.04,38,31,81.58,45,38,84.44,71,53,74.65,7,3,42.86,11,10,90.91,16,14.48,3.55,11.14,19.85,21.02,16.3,1,1
8,2022-09-18,4-2-3-1,0,0.67,13,4,30.77,376,297,78.99,42.97,95,20,24,51,74,34,33,7,173,82,47.4,3,0,0.0,29,7,24.14,2,0,0.0,32,6,18.75,14,4,28.57,1,0,0.0,0,0,0,19,5,26.32,5,0,21,4,8,20,48,22,45.83,1,1,7,2,28.57,58,33,56.9,33,13,39.39,3,2,66.67,38,18,11,1,0,146,109,74.66,42,36,85.71,136,117,86.03,35,23,65.71,64,47,73.44,80,59,73.75,1,0,0.0,22,19,86.36,10,17.69,3.27,9.31,16.63,20.42,15.05,0,1
9,2022-09-03,4-2-3-1,1,1.4,6,3,50.0,271,213,78.6,31.49,89,28,32,29,73,43,23,7,197,87,44.16,3,1,33.33,16,2,12.5,3,1,33.33,20,3,15.0,3,2,66.67,0,0,0.0,0,0,0,10,2,20.0,2,3,13,2,5,10,51,22,43.14,1,2,6,3,50.0,57,31,54.39,52,21,40.38,3,2,66.67,40,29,11,2,0,99,66,66.67,41,39,95.12,83,69,83.13,42,20,47.62,28,17,60.71,51,29,56.86,5,2,40.0,21,18,85.71,12,16.68,2.95,15.5,15.02,19.41,19.89,0,1
