,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
0,0,2022-11-12,5-3-2,0,0.56,11,2,18.18,329,270,82.07,37.79,94,22,37,35,69,35,28,6,203,105,51.72,5,1,20.0,23,3,13.04,4,2,50.0,20,5,25.0,6,2,33.33,1,0,0.0,0,0,0,14,4,28.57,3,6,22,5,6,12,63,28,44.44,3,2,13,6,46.15,73,41,56.16,43,25,58.14,3,2,66.67,40,23,5,3,0,102,73,71.57,60,57,95.0,105,92,87.62,34,21,61.76,36,27,75.0,48,34,70.83,7,3,42.86,18,17,94.44,8,16.01,3.74,10.33,21.78,19.52,26.43,1,-1
1,1,2022-11-05,4-1-4-1,2,1.09,8,5,62.5,243,198,81.48,31.71,82,18,28,36,66,31,22,13,176,81,46.02,2,0,0.0,13,4,30.77,4,0,0.0,22,3,13.64,4,2,50.0,3,1,33.33,1,1,100,11,2,18.18,2,3,14,5,4,10,52,27,51.92,1,3,19,8,42.11,64,30,46.88,32,10,31.25,7,3,42.86,43,24,15,2,1,88,61,69.32,38,33,86.84,84,78,92.86,40,24,60.0,36,24,66.67,46,35,76.09,3,2,66.67,9,9,100.0,8,15.64,2.79,16.46,17.24,22.47,17.25,1,-1
2,2,2022-10-29,4-2-3-1,1,0.66,11,3,27.27,291,230,79.04,42.37,92,24,26,42,81,38,31,12,227,112,49.34,7,2,28.57,26,7,26.92,3,0,0.0,19,4,21.05,6,3,50.0,2,0,0.0,0,0,0,12,2,16.67,4,1,17,4,9,10,68,32,47.06,1,1,9,3,33.33,74,49,66.22,42,13,30.95,2,1,50.0,46,27,17,3,1,95,62,65.26,43,38,88.37,109,96,88.07,37,16,43.24,42,30,71.43,49,32,65.31,2,1,50.0,16,12,75.0,7,16.39,3.0,12.71,20.42,19.17,7.71,0,0
3,3,2022-10-23,4-2-3-1,0,1.9,19,5,26.32,509,446,87.62,62.6,84,9,35,40,87,33,39,15,190,93,48.95,6,0,0.0,36,10,27.78,0,0,0.0,28,8,28.57,9,5,55.56,5,1,20.0,0,0,0,16,9,56.25,8,9,26,4,10,28,81,34,41.98,3,4,5,4,80.0,50,26,52.0,34,22,64.71,3,1,33.33,25,7,10,2,0,151,117,77.48,67,63,94.03,239,229,95.82,47,30,63.83,60,50,83.33,76,63,82.89,4,2,50.0,16,16,100.0,4,16.41,4.94,9.23,16.59,20.95,16.14,1,-1
4,4,2022-10-18,4-2-3-1,1,0.91,9,4,44.44,409,352,86.06,49.48,103,24,42,37,89,44,35,10,283,122,43.11,3,1,33.33,20,6,30.0,2,0,0.0,21,2,9.52,2,0,0.0,1,0,0.0,0,0,0,11,4,36.36,2,8,19,2,6,14,81,22,27.16,4,2,13,3,23.08,115,63,54.78,34,14,41.18,2,0,0.0,49,19,18,1,0,140,109,77.86,66,61,92.42,140,129,92.14,52,33,63.46,39,27,69.23,66,43,65.15,4,2,50.0,16,16,100.0,9,16.84,4.17,12.71,18.26,19.64,7.46,0,-1
5,5,2022-10-15,4-2-3-1,1,1.55,9,3,33.33,430,361,83.95,59.23,89,15,28,46,73,34,27,12,198,92,46.46,1,1,100.0,29,4,13.79,2,1,50.0,26,3,11.54,4,1,25.0,2,0,0.0,1,1,100,18,5,27.78,6,8,30,5,9,17,59,28,47.46,2,0,11,2,18.18,60,34,56.67,40,14,35.0,8,4,50.0,30,21,17,2,0,136,101,74.26,58,55,94.83,166,147,88.55,30,17,56.67,55,39,70.91,68,49,72.06,7,4,57.14,18,18,100.0,10,16.74,4.53,6.98,16.22,18.7,9.81,1,1
6,6,2022-10-08,4-2-3-1,0,1.46,9,2,22.22,413,356,86.2,46.47,95,25,35,35,67,32,25,10,202,99,49.01,3,1,33.33,23,4,17.39,1,1,100.0,25,3,12.0,2,2,100.0,2,1,50.0,0,0,0,15,6,40.0,5,6,22,4,9,16,88,30,34.09,0,3,18,7,38.89,63,43,68.25,29,17,58.62,3,2,66.67,45,12,8,0,0,142,119,83.8,61,54,88.52,151,135,89.4,24,16,66.67,34,26,76.47,63,43,68.25,7,2,28.57,24,22,91.67,15,16.72,4.39,5.81,14.9,19.38,16.76,0,-1
7,7,2022-10-01,3-4-3,0,0.85,15,4,26.67,545,471,86.42,58.19,99,14,25,60,79,28,36,15,198,84,42.42,10,4,40.0,47,13,27.66,1,0,0.0,21,2,9.52,6,1,16.67,1,0,0.0,0,0,0,24,6,25.0,4,12,36,4,13,24,73,29,39.73,1,2,16,5,31.25,55,29,52.73,37,15,40.54,3,0,0.0,31,5,6,2,0,158,121,76.58,83,80,96.39,239,220,92.05,47,30,63.83,77,63,81.82,95,82,86.32,4,1,25.0,22,20,90.91,7,16.63,5.4,8.62,20.47,20.14,13.0,0,-1
8,8,2022-09-17,4-3-3,0,0.29,5,1,20.0,408,352,86.27,42.75,85,8,35,42,59,28,24,7,171,80,46.78,3,0,0.0,22,3,13.64,0,0,0.0,21,0,0.0,5,0,0.0,2,0,0.0,0,0,0,9,1,11.11,3,5,18,5,3,9,72,31,43.06,0,3,15,7,46.67,63,40,63.49,19,5,26.32,2,1,50.0,39,12,7,1,1,145,109,75.17,69,67,97.1,159,148,93.08,46,29,63.04,35,22,62.86,70,52,74.29,1,1,100.0,17,17,100.0,7,16.49,4.53,11.27,22.36,21.81,18.71,1,-1
9,9,2022-09-03,4-2-3-1,1,1.02,6,2,33.33,409,331,80.93,49.09,120,29,40,51,84,45,25,14,221,104,47.06,1,0,0.0,23,3,13.04,3,2,66.67,29,1,3.45,5,1,20.0,3,0,0.0,0,0,0,21,5,23.81,6,7,28,7,10,22,87,25,28.74,1,0,10,1,10.0,70,42,60.0,41,20,48.78,4,2,50.0,56,16,10,4,0,139,99,71.22,57,51,89.47,149,127,85.23,59,35,59.32,44,29,65.91,64,44,68.75,6,3,50.0,16,16,100.0,11,16.9,3.75,14.43,14.25,20.11,9.0,1,1
