,Home Team,Away Team,Date
1237,Liverpool,Sheffield United,2020-01-02
1238,Liverpool,Wolverhampton Wanderers,2019-12-29
1239,Liverpool,Manchester City,2019-11-10
1240,Manchester United,Liverpool,2019-10-20
1241,Sheffield United,Liverpool,2019-09-28
1242,Liverpool,Norwich City,2019-08-09
1243,Liverpool,Wolverhampton Wanderers,2019-05-12
1244,Newcastle United,Liverpool,2019-05-04
1245,Southampton,Liverpool,2019-04-05
1246,Liverpool,Watford,2019-02-27
1247,Manchester United,Liverpool,2019-02-24
1248,West Ham United,Liverpool,2019-02-04
1249,Manchester City,Liverpool,2019-01-03
1250,Liverpool,Newcastle United,2018-12-26
1251,Wolverhampton Wanderers,Liverpool,2018-12-21
1252,Liverpool,Manchester United,2018-12-16
1253,Watford,Liverpool,2018-11-24
1254,Liverpool,Manchester City,2018-10-07
1255,Liverpool,Southampton,2018-09-22
1256,Liverpool,West Ham United,2018-08-12
1257,Manchester City,Southampton,2022-10-08
1258,Manchester City,Manchester United,2022-10-02
1259,Wolverhampton Wanderers,Manchester City,2022-09-17
1260,Manchester City,Nottingham Forest,2022-08-31
1261,Newcastle United,Manchester City,2022-08-21
1262,West Ham United,Manchester City,2022-08-07
1263,West Ham United,Manchester City,2022-05-15
1264,Wolverhampton Wanderers,Manchester City,2022-05-11
1265,Manchester City,Newcastle United,2022-05-08
1266,Manchester City,Watford,2022-04-23
1267,Manchester City,Manchester United,2022-03-06
1268,Manchester City,Tottenham Hotspur,2022-02-19
1269,Norwich City,Manchester City,2022-02-12
1270,Southampton,Manchester City,2022-01-22
1271,Newcastle United,Manchester City,2021-12-19
1272,Manchester City,Wolverhampton Wanderers,2021-12-11
1273,Watford,Manchester City,2021-12-04
1274,Manchester City,West Ham United,2021-11-28
1275,Manchester United,Manchester City,2021-11-06
1276,Manchester City,Southampton,2021-09-18
1277,Manchester City,Norwich City,2021-08-21
1278,Tottenham Hotspur,Manchester City,2021-08-15
1279,Newcastle United,Manchester City,2021-05-14
1280,Manchester City,Southampton,2021-03-10
1281,Manchester City,Manchester United,2021-03-07
1282,Manchester City,Wolverhampton Wanderers,2021-03-02
1283,Manchester City,Tottenham Hotspur,2021-02-13
1284,Manchester City,Sheffield United,2021-01-30
1285,West Bromwich Albion,Manchester City,2021-01-26
1286,Manchester City,Newcastle United,2020-12-26
1287,Southampton,Manchester City,2020-12-19
1288,Manchester City,West Bromwich Albion,2020-12-15
1289,Manchester United,Manchester City,2020-12-12
1290,Tottenham Hotspur,Manchester City,2020-11-21
1291,Sheffield United,Manchester City,2020-10-31
1292,West Ham United,Manchester City,2020-10-24
1293,Wolverhampton Wanderers,Manchester City,2020-09-21
1294,Watford,Manchester City,2020-07-21
1295,Southampton,Manchester City,2020-07-05
1296,Manchester United,Manchester City,2020-03-08
1297,Manchester City,West Ham United,2020-02-19
1298,Manchester City,Sheffield United,2019-12-29
1299,Wolverhampton Wanderers,Manchester City,2019-12-27
1300,Manchester City,Manchester United,2019-12-07
1301,Newcastle United,Manchester City,2019-11-30
1302,Manchester City,Southampton,2019-11-02
