,Home Team,Away Team,Date
0,Wolverhampton Wanderers,Arsenal,2022-11-12
1,Chelsea,Arsenal,2022-11-06
2,Arsenal,Nottingham Forest,2022-10-30
3,Southampton,Arsenal,2022-10-23
4,Leeds United,Arsenal,2022-10-16
5,Arsenal,Liverpool,2022-10-09
6,Arsenal,Tottenham Hotspur,2022-10-01
7,Brentford,Arsenal,2022-09-18
8,Manchester United,Arsenal,2022-09-04
9,Arsenal,Aston Villa,2022-08-31
10,Arsenal,Fulham,2022-08-27
11,Bournemouth,Arsenal,2022-08-20
12,Arsenal,Leicester City,2022-08-13
13,Crystal Palace,Arsenal,2022-08-05
14,Arsenal,Everton,2022-05-22
15,Newcastle United,Arsenal,2022-05-16
16,Tottenham Hotspur,Arsenal,2022-05-12
17,Arsenal,Leeds United,2022-05-08
18,West Ham United,Arsenal,2022-05-01
19,Arsenal,Manchester United,2022-04-23
20,Chelsea,Arsenal,2022-04-20
21,Southampton,Arsenal,2022-04-16
22,Arsenal,Brighton,2022-04-09
23,Crystal Palace,Arsenal,2022-04-04
24,Aston Villa,Arsenal,2022-03-19
25,Arsenal,Liverpool,2022-03-16
26,Arsenal,Leicester City,2022-03-13
27,Watford,Arsenal,2022-03-06
28,Arsenal,Wolverhampton Wanderers,2022-02-24
29,Arsenal,Brentford,2022-02-19
30,Wolverhampton Wanderers,Arsenal,2022-02-10
31,Arsenal,Burnley,2022-01-23
32,Arsenal,Manchester City,2022-01-01
33,Norwich City,Arsenal,2021-12-26
34,Leeds United,Arsenal,2021-12-18
35,Arsenal,West Ham United,2021-12-15
36,Arsenal,Southampton,2021-12-11
37,Everton,Arsenal,2021-12-06
38,Manchester United,Arsenal,2021-12-02
39,Arsenal,Newcastle United,2021-11-27
40,Liverpool,Arsenal,2021-11-20
41,Arsenal,Watford,2021-11-07
42,Leicester City,Arsenal,2021-10-30
43,Arsenal,Aston Villa,2021-10-22
44,Arsenal,Crystal Palace,2021-10-18
45,Brighton,Arsenal,2021-10-02
46,Burnley,Arsenal,2021-09-18
47,Arsenal,Norwich City,2021-09-11
48,Manchester City,Arsenal,2021-08-28
49,Arsenal,Chelsea,2021-08-22
50,Brentford,Arsenal,2021-08-13
51,Arsenal,Brighton,2021-05-23
52,Crystal Palace,Arsenal,2021-05-19
53,Arsenal,West Bromwich Albion,2021-05-09
54,Newcastle United,Arsenal,2021-05-02
55,Arsenal,Everton,2021-04-23
56,Arsenal,Fulham,2021-04-18
57,Sheffield United,Arsenal,2021-04-11
58,Arsenal,Liverpool,2021-04-03
59,West Ham United,Arsenal,2021-03-21
60,Arsenal,Tottenham Hotspur,2021-03-14
61,Burnley,Arsenal,2021-03-06
62,Leicester City,Arsenal,2021-02-28
63,Arsenal,Manchester City,2021-02-21
64,Arsenal,Leeds United,2021-02-14
65,Aston Villa,Arsenal,2021-02-06
66,Wolverhampton Wanderers,Arsenal,2021-02-02
67,Arsenal,Manchester United,2021-01-30
68,Southampton,Arsenal,2021-01-26
69,Arsenal,Newcastle United,2021-01-18
70,Arsenal,Crystal Palace,2021-01-14
71,West Bromwich Albion,Arsenal,2021-01-02
72,Brighton,Arsenal,2020-12-29
73,Arsenal,Chelsea,2020-12-26
74,Arsenal,Southampton,2020-12-16
75,Arsenal,Burnley,2020-12-13
76,Tottenham Hotspur,Arsenal,2020-12-06
77,Arsenal,Wolverhampton Wanderers,2020-11-29
78,Leeds United,Arsenal,2020-11-22
79,Arsenal,Aston Villa,2020-11-08
80,Manchester United,Arsenal,2020-11-01
81,Arsenal,Leicester City,2020-10-25
82,Manchester City,Arsenal,2020-10-17
83,Arsenal,Sheffield United,2020-10-04
84,Liverpool,Arsenal,2020-09-28
85,Arsenal,West Ham United,2020-09-19
86,Fulham,Arsenal,2020-09-12
87,Arsenal,Watford,2020-07-26
88,Arsenal,Liverpool,2020-07-15
89,Tottenham Hotspur,Arsenal,2020-07-12
90,Arsenal,Leicester City,2020-07-07
91,Arsenal,Norwich City,2020-07-01
92,Southampton,Arsenal,2020-06-25
93,Brighton,Arsenal,2020-06-20
94,Manchester City,Arsenal,2020-06-17
95,Arsenal,West Ham United,2020-03-07
96,Arsenal,Everton,2020-02-23
97,Arsenal,Newcastle United,2020-02-16
98,Burnley,Arsenal,2020-02-02
99,Chelsea,Arsenal,2020-01-21
100,Arsenal,Sheffield United,2020-01-18
101,Crystal Palace,Arsenal,2020-01-11
102,Arsenal,Manchester United,2020-01-01
103,Arsenal,Chelsea,2019-12-29
104,Bournemouth,Arsenal,2019-12-26
105,Everton,Arsenal,2019-12-21
106,Arsenal,Manchester City,2019-12-15
107,West Ham United,Arsenal,2019-12-09
108,Arsenal,Brighton,2019-12-05
109,Norwich City,Arsenal,2019-12-01
110,Arsenal,Southampton,2019-11-23
111,Leicester City,Arsenal,2019-11-09
112,Arsenal,Wolverhampton Wanderers,2019-11-02
113,Sheffield United,Arsenal,2019-10-21
114,Arsenal,Bournemouth,2019-10-06
115,Manchester United,Arsenal,2019-09-30
116,Arsenal,Aston Villa,2019-09-22
117,Watford,Arsenal,2019-09-15
118,Arsenal,Tottenham Hotspur,2019-09-01
119,Arsenal,Burnley,2019-08-17
120,Newcastle United,Arsenal,2019-08-11
121,Burnley,Arsenal,2019-05-12
122,Arsenal,Brighton,2019-05-05
123,Leicester City,Arsenal,2019-04-28
