,Unnamed: 0,Win
0,0,0
1,2,0
2,4,2
3,6,1
4,8,0
5,10,2
6,12,2
7,14,0
8,16,2
9,18,2
10,20,2
11,22,0
12,24,2
13,26,0
14,28,2
15,30,2
16,32,2
17,34,2
18,36,0
19,38,2
20,40,0
21,42,2
22,44,0
23,46,2
24,48,0
25,50,0
26,52,2
27,54,0
28,56,2
29,58,2
30,60,0
31,62,1
32,64,0
33,66,0
34,68,0
35,70,2
36,72,2
37,74,2
38,76,2
39,78,2
40,80,2
41,82,2
42,84,0
43,86,2
44,88,1
45,90,1
46,94,0
47,96,2
48,98,2
49,100,0
50,102,2
51,104,2
52,106,0
53,110,2
54,112,0
55,114,0
56,116,1
57,118,0
58,120,0
59,122,1
60,124,2
61,126,1
62,128,0
63,130,0
64,132,2
65,134,2
66,136,2
67,138,1
68,140,0
69,142,2
70,144,1
71,146,0
72,148,0
73,150,2
74,154,1
75,156,0
76,158,2
77,160,0
78,162,1
79,164,0
80,166,0
81,168,0
82,170,2
83,172,2
84,174,2
85,176,2
86,178,0
87,180,2
88,184,2
89,186,2
90,188,1
91,192,2
92,194,0
93,196,2
94,198,2
95,200,2
96,202,2
97,204,2
98,206,1
99,208,1
100,210,1
101,212,1
102,214,2
103,216,0
104,218,1
105,220,1
106,222,0
107,224,0
108,226,0
109,228,1
110,230,1
111,232,2
112,234,1
113,238,2
114,240,2
115,242,1
116,244,2
117,246,1
118,248,1
119,252,2
120,254,0
121,256,0
122,258,1
123,260,2
124,262,2
125,264,0
126,266,0
127,268,2
128,274,1
129,276,2
130,278,2
131,280,0
132,282,2
133,284,2
134,286,2
135,288,2
136,290,2
137,292,2
138,294,1
139,296,2
140,298,2
141,300,2
142,302,1
143,304,2
144,306,0
145,310,1
146,312,1
147,314,2
148,316,0
149,318,2
150,320,2
151,322,0
152,324,0
153,326,2
154,328,2
155,330,0
156,332,0
157,334,2
158,336,2
159,338,2
160,340,2
161,342,0
162,344,1
163,346,1
164,348,2
165,350,1
166,354,0
167,356,2
168,358,2
169,360,2
170,362,2
171,364,1
172,366,1
173,368,0
174,370,0
175,372,2
176,374,1
177,376,0
178,378,2
179,382,2
180,384,0
181,386,2
182,388,0
183,390,0
184,392,2
185,394,1
186,396,0
187,398,1
188,400,2
189,402,0
190,404,0
191,406,2
192,408,2
193,410,0
194,412,0
195,414,2
196,416,2
197,418,0
198,422,0
199,424,2
200,426,0
201,428,2
202,430,2
203,432,1
204,434,2
205,436,2
206,438,2
207,440,0
208,442,2
209,444,1
210,446,0
211,448,0
212,450,1
213,454,2
214,456,2
215,458,0
216,460,1
217,462,1
218,464,2
219,466,0
220,468,0
221,470,1
222,474,0
223,476,0
224,478,2
225,482,2
226,484,2
227,486,1
228,488,2
229,490,0
230,492,1
231,494,0
232,498,0
233,502,0
234,504,0
235,506,0
236,508,2
237,510,0
238,512,2
239,514,1
240,518,1
241,520,2
242,522,0
243,524,2
244,526,0
245,530,0
246,532,1
247,534,2
248,536,2
249,538,0
250,540,2
251,542,2
