,Win
1237,2
1238,2
1239,2
1240,1
1241,0
1242,2
1243,2
1244,0
1245,0
1246,2
1247,1
1248,1
1249,2
1250,2
1251,0
1252,2
1253,0
1254,1
1255,2
1256,2
1257,2
1258,2
1259,0
1260,2
1261,1
1262,0
1263,1
1264,0
1265,2
1266,2
1267,2
1268,0
1269,0
1270,1
1271,0
1272,2
1273,0
1274,2
1275,0
1276,1
1277,2
1278,2
1279,0
1280,2
1281,0
1282,2
1283,2
1284,2
1285,0
1286,2
1287,0
1288,1
1289,1
1290,2
1291,0
1292,1
1293,0
1294,0
1295,2
1296,2
1297,2
1298,2
1299,2
1300,0
1301,1
1302,2
1303,0
1304,2
1305,2
1306,1
1307,0
1308,2
1309,2
1310,2
1311,2
1312,2
1313,0
1314,0
1315,0
1316,2
1317,2
1318,0
1319,2
1320,1
1321,2
1322,2
1323,1
1324,0
1325,2
1326,2
1327,1
1328,1
1329,0
1330,1
1331,0
1332,2
1333,0
1334,0
1335,2
1336,0
1337,1
1338,0
1339,0
1340,2
1341,1
1342,2
1343,0
1344,2
1345,0
1346,0
1347,0
1348,2
1349,0
1350,0
1351,1
1352,1
1353,2
1354,1
1355,2
1356,1
1357,2
1358,2
1359,2
1360,1
1361,0
1362,2
1363,2
1364,1
1365,2
1366,2
1367,2
1368,2
1369,0
1370,0
1371,1
1372,2
1373,2
1374,1
1375,0
1376,0
1377,0
1378,0
1379,1
1380,2
1381,0
1382,2
1383,2
1384,0
1385,1
1386,1
1387,1
1388,0
1389,2
1390,1
1391,1
1392,0
1393,2
1394,2
1395,1
1396,1
1397,1
1398,2
1399,2
1400,2
1401,2
1402,1
1403,0
1404,0
1405,2
1406,1
1407,2
1408,0
1409,1
1410,2
1411,0
1412,0
1413,0
1414,2
1415,2
1416,2
1417,2
1418,0
1419,0
1420,2
1421,1
1422,0
1423,0
1424,1
1425,0
1426,2
1427,0
1428,2
1429,2
1430,1
1431,2
1432,0
1433,2
1434,0
1435,2
1436,2
1437,2
1438,1
1439,0
1440,0
1441,2
1442,0
1443,2
1444,0
1445,2
1446,2
1447,2
1448,0
1449,2
1450,2
1451,0
1452,2
1453,2
1454,0
1455,0
1456,2
1457,2
1458,2
1459,2
1460,1
1461,1
1462,1
1463,1
1464,1
1465,0
1466,1
1467,2
1468,2
1469,0
1470,0
1471,2
1472,1
1473,0
1474,0
1475,0
1476,1
1477,2
1478,2
1479,2
1480,0
1481,1
1482,2
1483,0
1484,0
1485,2
1486,0
1487,2
1488,0
1489,2
1490,1
1491,2
1492,2
1493,0
1494,2
1495,1
1496,2
1497,1
1498,2
1499,2
1500,0
1501,0
1502,2
1503,2
1504,0
1505,2
1506,2
1507,2
1508,1
1509,0
1510,1
1511,2
1512,0
1513,1
1514,0
1515,0
1516,1
1517,0
1518,2
1519,0
1520,0
1521,0
1522,2
1523,2
1524,2
1525,0
1526,0
1527,2
1528,2
1529,2
1530,0
1531,0
1532,0
1533,0
1534,0
1535,1
1536,2
1537,0
1538,2
1539,2
1540,2
1541,0
1542,2
1543,0
1544,2
1545,2
1546,0
