,Win
172,2
428,0
526,0
1048,0
1017,0
329,2
116,2
218,0
451,1
454,2
1154,2
602,2
514,2
1030,0
494,2
979,2
1004,2
707,0
169,0
110,1
642,2
518,2
448,2
323,2
307,0
947,1
181,2
105,0
471,2
65,2
481,1
815,0
208,0
226,0
31,2
439,2
872,0
369,0
254,2
826,0
1203,2
889,0
1007,0
79,1
151,0
1110,2
247,1
1205,2
896,1
587,2
908,2
462,0
424,2
1188,0
1221,2
1132,0
224,2
791,1
765,0
461,0
670,0
45,1
162,0
284,1
368,2
904,1
579,1
388,0
202,0
146,2
738,1
1119,2
415,2
91,1
8,2
49,1
664,1
704,1
1031,0
99,2
795,2
412,1
1182,0
134,1
196,2
43,2
772,0
1020,2
131,0
895,2
555,2
310,1
525,0
685,1
1159,0
53,0
949,1
832,2
487,2
1006,2
989,2
674,2
47,0
822,2
398,2
5,2
900,0
166,2
967,1
407,2
250,2
281,2
565,0
624,2
823,2
917,2
637,1
297,0
1210,2
1117,1
529,0
705,0
1081,2
189,2
1028,2
467,1
682,0
764,1
968,2
315,0
195,0
734,2
676,2
695,1
121,1
394,2
1175,0
611,2
547,0
1058,0
619,1
82,2
311,0
1109,1
214,0
569,2
160,1
819,0
1066,1
831,0
668,2
1051,2
880,0
882,0
185,1
458,0
865,2
860,2
978,0
15,0
688,2
292,2
783,2
842,1
852,2
943,1
990,1
571,2
1099,1
1197,0
434,2
395,2
630,0
418,0
1106,2
1098,2
204,2
531,0
576,1
713,0
678,0
924,1
77,2
840,1
552,2
356,1
995,0
1183,2
405,0
1176,1
665,2
72,2
376,2
971,2
944,2
887,2
888,2
374,0
507,1
1100,0
691,2
423,2
1218,0
1151,2
399,1
364,0
1096,0
1063,0
673,2
133,0
1156,2
1114,2
296,2
749,2
155,0
403,0
945,1
963,2
965,1
63,2
347,2
729,0
1212,0
1115,2
343,0
361,0
377,0
187,1
1013,0
383,0
694,0
737,2
849,0
1232,2
939,0
81,1
1127,2
441,2
216,2
194,2
1104,2
1194,1
1102,1
725,2
1171,0
327,2
854,2
93,1
486,0
182,1
1230,0
317,0
870,2
577,2
366,0
504,0
524,1
573,2
1219,2
892,2
748,0
69,2
1022,1
