,Win
124,2
125,0
126,0
127,2
128,1
129,2
130,2
131,0
132,2
133,2
134,2
135,2
136,2
137,2
138,1
139,2
140,2
141,2
142,1
143,2
144,0
145,1
146,1
147,2
148,0
149,2
150,2
151,0
152,0
153,2
154,2
155,0
156,0
157,2
158,2
159,2
160,2
161,0
162,1
163,1
164,2
165,1
166,0
167,2
168,2
169,2
170,2
171,1
172,1
173,0
174,0
175,2
176,1
177,0
178,2
179,2
180,0
181,2
182,0
183,0
184,2
185,1
186,0
187,1
188,2
189,0
190,0
191,2
192,2
193,0
194,0
195,2
196,2
197,0
198,0
199,2
200,0
201,2
202,2
203,1
204,2
205,2
206,2
207,0
208,2
209,1
210,0
211,0
212,1
213,2
214,2
215,0
216,1
217,1
218,2
219,0
220,0
221,1
222,0
223,0
224,2
225,2
226,2
227,1
228,2
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,2
237,0
238,2
239,1
240,1
241,2
242,0
243,2
244,0
245,0
246,1
247,2
248,2
249,0
250,2
251,2
252,1
253,0
254,0
255,2
256,2
257,0
258,2
259,0
260,2
261,1
262,2
263,2
264,0
265,1
266,1
267,2
268,2
269,0
270,2
271,2
272,2
273,0
274,2
275,0
276,1
277,2
278,1
279,1
280,0
281,1
282,2
283,2
284,0
285,0
286,2
287,2
288,1
289,2
290,0
291,2
292,0
293,2
294,1
295,2
296,2
297,2
298,2
299,0
300,2
301,2
302,0
303,0
304,0
305,2
306,2
307,0
308,2
309,2
310,1
311,1
312,1
313,0
314,2
315,2
316,0
317,1
318,2
319,2
320,1
321,0
322,0
323,0
324,2
325,1
326,0
327,0
328,1
329,2
330,2
331,2
332,2
333,2
334,1
335,2
336,2
337,2
338,2
339,0
340,2
341,2
342,0
343,0
344,1
345,0
346,2
347,2
348,2
349,2
350,1
351,0
352,2
353,0
354,1
355,1
356,1
357,2
358,2
359,2
360,1
361,1
362,2
363,2
364,1
365,0
366,0
367,2
368,2
369,1
370,0
371,2
372,0
373,2
374,2
375,0
376,0
377,1
378,2
379,0
380,0
381,2
382,2
383,0
384,2
385,2
386,1
387,2
388,2
389,1
390,0
391,2
392,0
393,0
394,0
395,1
396,0
397,0
398,1
399,0
400,2
401,2
402,1
403,0
404,1
405,2
406,2
407,2
408,0
409,1
410,0
411,2
412,1
413,2
414,0
415,1
416,2
417,0
418,1
419,0
420,0
421,2
422,0
423,2
424,0
425,1
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,2
440,0
441,2
442,0
443,2
444,1
445,2
446,2
447,2
448,1
449,1
450,2
451,2
452,0
453,0
454,2
455,0
456,1
457,0
458,2
459,1
460,0
461,2
462,1
463,1
464,1
465,1
466,2
467,0
468,1
469,1
470,2
471,1
472,1
473,2
474,0
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,2
491,1
492,0
493,1
494,2
495,0
496,2
497,2
498,2
499,2
500,2
501,1
502,1
503,2
504,0
505,0
506,0
507,1
508,2
509,0
510,2
511,0
512,0
513,2
514,2
515,0
516,1
517,2
518,0
519,2
520,0
521,2
522,2
523,0
524,1
525,2
526,2
527,2
528,0
529,2
530,2
531,0
532,1
533,1
534,2
535,2
536,2
537,0
538,2
539,0
540,2
541,2
542,1
543,2
544,2
545,0
546,0
547,0
548,1
549,2
550,0
551,1
552,1
553,2
554,2
555,1
556,2
557,1
558,1
559,1
560,1
561,2
562,1
563,1
564,2
565,1
566,2
567,2
568,0
569,0
570,0
571,0
572,0
573,2
574,0
575,1
576,2
577,1
578,1
579,0
580,2
581,0
582,2
583,0
584,2
585,2
586,2
587,1
588,2
589,2
590,0
591,0
592,1
593,2
594,0
595,2
596,0
597,1
598,1
599,0
600,1
601,0
602,2
603,1
604,1
605,0
606,0
607,2
608,2
609,0
610,2
611,2
612,2
613,0
614,0
615,0
616,2
617,2
618,0
619,2
620,2
621,2
622,1
623,2
624,2
625,0
626,1
627,2
628,2
629,0
630,2
631,0
632,2
633,2
634,1
635,1
636,1
637,2
638,0
639,2
640,0
641,0
642,2
643,1
644,2
645,1
646,0
647,2
648,2
649,0
650,1
651,0
652,0
653,2
654,0
655,2
656,0
657,2
658,2
659,0
660,0
661,0
662,2
663,1
664,0
665,0
666,1
667,0
668,2
669,2
670,2
671,2
672,2
673,0
674,2
675,2
676,2
677,0
678,2
679,1
680,1
681,2
682,1
683,2
684,0
685,2
686,2
687,2
688,2
689,1
690,0
691,2
692,1
693,0
694,1
695,2
696,1
697,2
698,0
699,2
700,0
701,0
702,2
703,2
704,1
705,1
706,1
707,2
708,2
709,0
710,0
711,0
712,2
713,2
714,0
715,0
716,1
717,2
718,0
719,2
720,0
721,0
722,0
723,1
724,2
725,0
726,1
727,1
728,2
729,0
730,0
731,1
732,2
733,0
734,0
735,2
736,2
737,2
738,1
739,0
740,2
741,1
742,1
743,2
744,1
745,0
746,2
747,2
748,2
749,2
750,0
751,2
752,2
753,2
754,2
755,0
756,1
757,0
758,0
759,2
760,0
761,2
762,2
763,0
764,0
765,0
766,1
767,0
768,2
769,1
770,2
771,2
772,2
773,1
774,0
775,2
776,2
777,2
778,1
779,0
780,2
781,2
782,1
783,2
784,1
785,0
786,1
787,1
788,0
789,0
790,2
791,0
792,2
793,2
794,2
795,1
796,2
797,1
798,2
799,1
800,2
801,2
802,2
803,0
804,1
805,2
806,2
807,1
808,0
809,0
810,1
811,0
812,0
813,2
814,2
815,1
816,2
817,2
818,2
819,2
820,0
821,1
822,1
823,2
824,2
825,1
826,2
827,2
828,0
829,0
830,1
831,2
832,2
833,1
834,1
835,2
836,0
837,2
838,2
839,2
840,1
841,0
842,1
843,1
844,0
845,0
846,2
847,2
848,0
849,0
850,0
851,0
852,2
853,2
854,2
855,2
856,0
857,0
858,1
859,1
860,2
861,1
862,0
863,0
864,2
865,1
866,2
867,0
868,2
869,1
870,0
871,0
872,2
873,2
874,0
875,0
876,1
877,2
878,2
879,0
880,0
881,2
882,2
883,1
884,0
885,2
886,0
887,1
888,0
889,2
890,0
891,0
892,0
893,1
894,2
895,2
896,0
897,0
898,2
899,1
900,1
901,1
902,1
903,0
904,2
905,1
906,2
907,2
908,2
909,0
910,2
911,0
912,2
913,2
914,2
915,2
916,0
917,2
918,1
919,2
920,0
921,0
922,1
923,2
924,1
925,2
926,2
927,2
928,0
929,0
930,1
931,0
932,2
933,0
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,2
946,1
947,2
948,0
949,2
950,1
951,2
952,2
953,0
954,1
955,0
956,1
957,1
958,2
959,0
960,2
961,2
962,0
963,1
964,2
965,0
966,2
967,2
968,1
969,2
970,2
971,0
972,2
973,2
974,0
975,0
976,0
977,2
978,0
979,0
980,2
981,1
982,1
983,2
984,2
985,2
986,0
987,1
988,2
989,1
990,0
991,2
992,0
993,2
994,0
995,0
996,2
997,1
998,1
999,0
1000,1
1001,2
1002,0
1003,0
1004,0
1005,0
1006,0
1007,2
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,2
1016,0
1017,2
1018,2
1019,1
1020,2
1021,2
1022,0
1023,2
1024,0
1025,0
1026,2
1027,2
1028,0
1029,0
1030,2
1031,1
1032,1
1033,0
1034,2
1035,1
1036,2
1037,2
1038,2
1039,1
1040,2
1041,2
1042,1
1043,1
1044,2
1045,0
1046,2
1047,0
1048,2
1049,2
1050,2
1051,0
1052,2
1053,0
1054,0
1055,0
1056,1
1057,2
1058,0
1059,0
1060,2
1061,2
1062,2
1063,0
1064,2
1065,1
1066,2
1067,0
1068,0
1069,1
1070,0
1071,2
1072,2
1073,0
1074,2
1075,0
1076,0
1077,0
1078,2
1079,2
1080,1
1081,0
1082,1
1083,2
1084,2
1085,0
1086,1
1087,0
1088,2
1089,2
1090,0
1091,2
1092,1
1093,1
1094,0
1095,2
1096,2
1097,2
1098,2
1099,0
1100,0
1101,2
1102,0
1103,2
1104,2
1105,0
1106,0
1107,1
1108,0
1109,2
1110,0
1111,0
1112,0
1113,2
1114,2
1115,0
1116,0
1117,2
1118,0
1119,2
1120,2
1121,2
1122,1
1123,2
1124,1
1125,2
1126,0
1127,2
1128,2
1129,2
1130,1
1131,2
1132,2
1133,0
1134,2
1135,2
1136,0
1137,0
1138,0
1139,1
1140,2
1141,2
1142,0
1143,2
1144,2
1145,1
1146,2
1147,0
1148,1
1149,0
1150,0
1151,2
1152,0
1153,0
1154,0
1155,0
1156,2
1157,2
1158,1
1159,2
1160,2
1161,0
1162,0
1163,0
1164,2
1165,1
1166,2
1167,0
1168,2
1169,2
1170,2
1171,2
1172,1
1173,2
1174,1
1175,0
1176,2
1177,1
1178,2
1179,2
1180,0
1181,1
1182,0
1183,0
1184,0
1185,2
1186,2
1187,2
1188,0
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,0
1196,1
1197,0
1198,2
1199,1
1200,2
1201,2
1202,1
1203,2
1204,0
1205,2
1206,2
1207,0
1208,0
1209,1
1210,0
1211,0
1212,0
1213,2
1214,1
1215,0
1216,0
1217,0
1218,0
1219,1
1220,2
1221,1
1222,1
1223,2
1224,2
1225,1
1226,2
1227,2
1228,0
1229,2
1230,2
1231,2
1232,0
1233,0
1234,0
1235,2
1236,0
