,Win
0,0
1,0
2,2
3,1
4,0
5,2
6,2
7,0
8,2
9,2
10,2
11,0
12,2
13,0
14,2
15,2
16,2
17,2
18,0
19,2
20,0
21,2
22,0
23,2
24,0
25,0
26,2
27,0
28,2
29,2
30,0
31,1
32,0
33,0
34,0
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,0
43,2
44,1
45,1
46,0
47,2
48,2
49,0
50,2
51,2
52,0
53,2
54,0
55,0
56,1
57,0
58,0
59,1
60,2
61,1
62,0
63,0
64,2
65,2
66,2
67,1
68,0
69,2
70,1
71,0
72,0
73,2
74,1
75,0
76,2
77,0
78,1
79,0
80,0
81,0
82,2
83,2
84,2
85,2
86,0
87,2
88,2
89,2
90,1
91,2
92,0
93,2
94,2
95,2
96,2
97,2
98,1
99,1
100,1
101,1
102,2
103,0
104,1
105,1
106,0
107,0
108,0
109,1
110,1
111,2
112,1
113,2
114,2
115,1
116,2
117,1
118,1
119,2
120,0
121,0
122,1
123,2
